sample_id,size,size_kb,gc,predicted_mobility,total_defense_count,defense_richness,shannon_diversity,has_defense,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,cat_BREX,cat_CBASS,cat_CRISPR-Cas,cat_DISARM,cat_Druantia,cat_Other,cat_Phage Defense,cat_Restriction-Modification,cat_pAgo
NC_001336.1,13514,13.514,0.417714962,non-mobilizable,1,1,-0.0,1,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanothermobacteraceae,g__Methanothermobacter,s__Methanothermobacter thermautotrophicus,0,0,0,0,0,0,0,1,0
NC_001337.1,11014,11.014,0.425095333,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanothermobacteraceae,g__Methanothermobacter,s__Methanothermobacter thermautotrophicus,0,0,0,0,0,0,0,0,0
NC_001375.1,6354,6.354,0.560434372,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax volcanii,0,0,0,0,0,0,0,0,0
NC_001732.1,58407,58.407,0.281910795,non-mobilizable,1,1,-0.0,1,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,s__Methanocaldococcus jannaschii,0,0,0,0,0,0,0,1,0
NC_001733.1,16550,16.55,0.288882175,non-mobilizable,1,1,-0.0,1,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,s__Methanocaldococcus jannaschii,0,0,0,0,0,0,0,1,0
NC_001771.1,5350,5.35,0.37271028,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_001773.1,3444,3.444,0.43437863,non-mobilizable,0,0,0.0,0,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Pyrococcus,s__Pyrococcus abyssi,0,0,0,0,0,0,0,0,0
NC_001811.1,8285,8.285,0.272420036,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcus,s__Methanococcus maripaludis_D,0,0,0,0,0,0,0,0,0
NC_001869.1,191346,191.346,0.579087099,non-mobilizable,3,2,0.6365141682948128,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum,0,0,0,0,0,2,0,1,0
NC_002097.1,5467,5.467,0.375342967,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina acetivorans,0,0,0,0,0,0,0,0,0
NC_002101.1,6959,6.959,0.373616899,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_002121.1,1736,1.736,0.641129032,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum,0,0,0,0,0,0,0,0,0
NC_002125.1,4439,4.439,0.454156342,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanothermobacteraceae,g__Methanothermobacter,s__Methanothermobacter thermautotrophicus,0,0,0,0,0,0,0,0,0
NC_002608.1,365425,365.425,0.59224191,non-mobilizable,3,3,1.0986122886681096,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum,0,0,0,0,0,2,0,1,0
NC_004852.1,24554,24.554,0.373381119,conjugative,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_004853.1,7830,7.83,0.350063857,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_005562.1,7598,7.598,0.379705186,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Acidianus,s__Acidianus ambivalens,0,0,0,0,0,0,0,0,0
NC_005907.1,4967,4.967,0.44030602,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus solfataricus,0,0,0,0,0,0,0,0,0
NC_006389.1,33303,33.303,0.542533706,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,0,0,0,1,0,0,0
NC_006390.1,33452,33.452,0.556259715,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,0,0,0,0,0,0,0
NC_006391.1,39521,39.521,0.600187242,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,0,0,0,0,0,0,0
NC_006392.1,50060,50.06,0.57349181,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,1,0,0,0,0,0,0
NC_006393.1,132678,132.678,0.544822804,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,0,0,0,0,0,0,0
NC_006394.1,155300,155.3,0.583329041,non-mobilizable,3,3,1.0986122886681096,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,0,0,0,2,0,0,1
NC_006422.1,28930,28.93,0.371068095,conjugative,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_006423.1,26200,26.2,0.362633588,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_006424.1,26476,26.476,0.371015259,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_006425.1,35422,35.422,0.373214387,conjugative,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_007427.1,130989,130.989,0.572215988,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Natronomonas,s__Natronomonas pharaonis,0,0,0,0,0,0,0,0,0
NC_007428.1,23486,23.486,0.605935451,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Natronomonas,s__Natronomonas pharaonis,0,0,0,0,0,0,0,0,0
NC_008213.1,46867,46.867,0.476732029,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloquadratum,s__Haloquadratum walsbyi,0,0,0,0,0,0,0,1,0
NC_008696.1,31504,31.504,0.565420264,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei,o__Thermofilales,f__Thermofilaceae,g__Thermofilum_B,s__Thermofilum_B pendens,0,0,0,0,0,0,0,0,0
NC_009136.1,8285,8.285,0.272420036,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcus,s__Methanococcus maripaludis_D,0,0,0,0,0,0,0,0,0
NC_009658.1,3619,3.619,0.458137607,non-mobilizable,0,0,0.0,0,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus nautili,0,0,0,0,0,0,0,0,0
NC_010011.1,5705,5.705,0.387204207,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_010088.1,12041,12.041,0.613155054,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum,0,0,0,0,0,0,0,0,0
NC_010365.1,6970,6.97,0.394548063,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_010366.1,147625,147.625,0.574482642,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum,0,0,0,0,0,1,0,1,0
NC_010367.1,40894,40.894,0.579106959,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum,0,0,0,0,0,0,0,1,0
NC_010369.1,194963,194.963,0.585900915,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum,0,0,0,0,0,2,0,0,0
NC_010597.1,29000,29.0,0.358172414,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_010598.1,25960,25.96,0.367334361,conjugative,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_011299.1,28649,28.649,0.359209746,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Acidianus,s__Acidianus hospitalis,0,0,0,0,0,0,0,0,0
NC_012030.1,431338,431.338,0.548609211,non-mobilizable,9,6,1.5810937501718236,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum lacusprofundi,0,0,2,0,0,2,0,4,1
NC_012624.1,42245,42.245,0.361084152,non-mobilizable,1,1,-0.0,1,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,1,0
NC_012890.1,2802,2.802,0.398643826,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus_B,s__Archaeoglobus_B profundus,0,0,0,0,0,0,0,0,0
NC_013157.1,22190,22.19,0.327850383,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,s__Methanocaldococcus fervens,0,0,0,0,0,0,0,0,0
NC_013201.1,221862,221.862,0.641515897,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicrobium,s__Halomicrobium mukohataei,0,0,0,0,0,0,0,0,0
NC_013408.1,10704,10.704,0.46319133,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,s__Methanocaldococcus vulcanius,0,0,0,0,0,0,0,0,0
NC_013409.1,4704,4.704,0.300807823,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,s__Methanocaldococcus vulcanius,0,0,0,0,0,0,0,0,0
NC_013536.1,2272,2.272,0.67693662,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,0,0,0,0,0,0,0,0,0
NC_013742.1,2801,2.801,0.398429132,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus_B,s__Archaeoglobus_B profundus,0,0,0,0,0,0,0,0,0
NC_013744.1,698495,698.495,0.611589202,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena turkmenica,0,0,0,0,0,2,0,0,0
NC_013745.1,413648,413.648,0.597537036,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena turkmenica,0,0,0,0,0,0,0,0,0
NC_013746.1,180781,180.781,0.547297559,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena turkmenica,0,0,0,0,0,1,0,0,0
NC_013747.1,171943,171.943,0.646086203,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena turkmenica,0,0,0,0,0,0,0,0,0
NC_013748.1,71062,71.062,0.599560947,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena turkmenica,0,0,0,0,0,0,0,0,0
NC_013749.1,15815,15.815,0.581473285,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena turkmenica,0,0,0,0,0,0,0,0,0
NC_013770.1,26615,26.615,0.361412737,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus,0,0,0,0,0,0,0,0,0
NC_013777.1,5740,5.74,0.390418118,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus solfataricus,0,0,0,0,0,0,0,0,0
NC_013888.1,12197,12.197,0.316471263,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,s__Methanocaldococcus sp000025525,0,0,0,0,0,0,0,0,0
NC_013923.1,378348,378.348,0.600917674,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrialba,s__Natrialba magadii,0,0,0,0,0,0,1,0,0
NC_013924.1,254950,254.95,0.568232987,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrialba,s__Natrialba magadii,0,0,0,0,0,1,0,0,0
NC_013925.1,58487,58.487,0.618992255,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrialba,s__Natrialba magadii,0,0,0,0,0,0,0,0,0
NC_013964.1,437906,437.906,0.655595036,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax volcanii,0,0,0,0,0,0,0,0,0
NC_013965.1,6359,6.359,0.560622739,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax volcanii,0,0,0,0,0,0,0,0,0
NC_013966.1,635786,635.786,0.616652459,non-mobilizable,4,4,1.3862943611198906,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax volcanii,0,0,1,0,0,1,0,2,0
NC_013968.1,85092,85.092,0.554987543,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax volcanii,0,0,0,1,0,0,0,0,0
NC_014115.1,13015,13.015,0.483672685,non-mobilizable,0,0,0.0,0,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus nautili,0,0,0,0,0,0,0,0,0
NC_014254.1,163915,163.915,0.336363359,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanohalobium,s__Methanohalobium evestigatum,0,0,0,0,0,1,0,0,0
NC_014298.1,406285,406.285,0.552656387,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halalkalicoccaceae,g__Halalkalicoccus,s__Halalkalicoccus jeotgali,0,0,0,0,0,2,0,0,0
NC_014299.1,363534,363.534,0.54163297,conjugative,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halalkalicoccaceae,g__Halalkalicoccus,s__Halalkalicoccus jeotgali,0,0,0,0,0,0,0,1,0
NC_014300.1,44576,44.576,0.589016511,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halalkalicoccaceae,g__Halalkalicoccus,s__Halalkalicoccus jeotgali,0,0,0,0,0,1,0,0,0
NC_014301.1,44459,44.459,0.549112666,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halalkalicoccaceae,g__Halalkalicoccus,s__Halalkalicoccus jeotgali,0,0,0,0,0,0,0,1,0
