replicon,size_kb,n_instances,density_per_kb
NZ_CP031151.1,112.309,1,0.008904005912259925
NZ_CP031152.1,91.783,1,0.010895263828813614
NZ_CP031306.1,827.667,2,0.0024164307626134665
NZ_CP031308.1,146.189,1,0.006840459952527208
NZ_CP031314.1,185.668,1,0.0053859577310037265
NZ_CP034146.1,41.138,1,0.024308425300209054
NZ_CP034344.1,267.815,3,0.01120176241061927
NZ_CP034691.1,117.216,1,0.008531258531258532
NZ_CP034693.1,163.12,2,0.012260912211868563
NZ_CP034941.1,606.697,4,0.006593076939559616
NZ_CP035120.1,303.357,2,0.006592892202916036
NZ_CP035121.1,111.878,2,0.01787661559913477
NZ_CP035122.1,58.328,3,0.05143327389932793
NZ_CP039133.1,33.297,1,0.030032735681893265
NZ_CP039134.1,155.291,3,0.019318569653102885
NZ_CP040331.1,492.102,3,0.006096297109135911
NZ_CP040638.1,203.201,1,0.004921235623840434
NZ_CP042240.1,178.915,2,0.01117849258027555
NZ_CP044524.1,531.768,2,0.003761038648433151
NZ_CP044525.1,219.256,1,0.004560878607654978
NZ_CP045489.1,431.477,3,0.006952861913844771
NZ_CP053943.1,155.204,2,0.01288626581789129
NZ_CP054586.1,363.938,3,0.008243162296874742
NZ_CP054588.1,254.488,2,0.007858916726918361
NZ_CP054589.1,253.363,2,0.00789381243512273
NZ_CP054708.1,602.938,3,0.004975635969204131
NZ_CP054709.1,419.06,2,0.004772586264496731
NZ_CP054710.1,132.808,2,0.015059333775073791
NZ_CP063208.1,65.035,1,0.015376335819174292
NZ_CP064792.1,180.725,1,0.005533268778530918
NZ_CP069189.1,138.03,1,0.007244801854669275
NZ_CP069191.1,220.397,1,0.004537266841200198
NZ_CP069193.1,96.392,1,0.010374304921570255
NZ_CP070334.1,105.947,4,0.03775472641981368
NZ_CP070335.2,299.663,2,0.0066741639775347635
NZ_CP070375.1,284.178,1,0.0035189212395048174
NZ_CP070376.1,54.914,1,0.018210292457296863
NZ_CP073367.1,116.596,1,0.00857662355483893
NZ_CP073368.1,540.11,4,0.00740589879839292
NZ_CP073370.1,55.294,2,0.03617028972402069
NZ_CP078064.1,344.046,1,0.002906588072525186
NZ_CP078065.1,327.798,1,0.003050659247463377
NZ_CP081959.1,271.515,2,0.007366075539104654
NZ_CP081960.1,487.397,2,0.004103431083900804
NZ_CP082248.1,881.002,2,0.0022701424060331305
NZ_CP082287.1,240.419,4,0.016637620154813054
NZ_CP082289.1,161.865,1,0.006177987829363976
NZ_CP083668.1,149.551,1,0.00668668213519134
NZ_CP084319.1,285.49,1,0.003502749658481908
NZ_CP084464.1,394.162,2,0.005074055845058631
NZ_CP084467.1,524.325,6,0.011443284222571877
NZ_CP084468.1,103.645,1,0.009648318780452506
NZ_CP084470.1,400.082,1,0.0024994876050409664
NZ_CP084882.1,508.04,3,0.005905046846704984
NZ_CP084884.1,358.925,3,0.008358292122309674
NZ_CP084885.1,224.373,1,0.004456864239458402
NZ_CP085325.1,135.207,1,0.007396066771690815
NZ_CP085884.1,42.817,1,0.023355209379452086
NZ_CP087722.1,166.871,2,0.011985306014825822
NZ_CP087725.1,34.99,1,0.028579594169762787
NZ_CP089469.1,368.639,1,0.002712680969729193
NZ_CP089594.1,197.166,2,0.010143736749743872
NZ_CP090373.1,135.778,3,0.022094890188395767
NZ_CP095006.1,406.045,4,0.0098511248753217
NZ_CP095008.1,123.302,1,0.008110168529302039
NZ_CP095009.1,350.887,1,0.002849920344726365
NZ_CP095398.1,861.699,3,0.003481494118015688
NZ_CP095484.1,109.717,2,0.01822871569583565
NZ_CP095494.1,88.308,1,0.01132400235539249
NZ_CP096020.1,532.509,4,0.007511610132410907
NZ_CP096021.1,415.306,1,0.0024078631177974793
NZ_CP096022.1,364.94,1,0.002740176467364498
NZ_CP096023.1,172.315,7,0.04062327713779996
NZ_CP098516.1,163.815,2,0.0122088941794097
NZ_CP098517.1,107.228,1,0.009325922333718805
NZ_CP098519.1,124.451,1,0.008035290998063495
NZ_CP100405.1,363.878,1,0.002748173838484327
NZ_CP100408.1,310.0,1,0.0032258064516129032
NZ_CP100409.1,187.118,1,0.005344221293515322
NZ_CP100447.1,113.539,5,0.04403773152837351
NZ_CP100449.1,374.934,2,0.005334272165234414
NZ_CP100450.1,118.989,4,0.033616552790594084
NZ_CP100451.1,159.483,4,0.025081043120583384
NZ_CP100455.1,617.328,1,0.0016198844050488558
NZ_CP100457.1,144.667,1,0.006912426469063435
NZ_CP100458.1,81.511,5,0.061341414042276506
NZ_CP101155.1,147.277,4,0.027159705860385533
NZ_CP101324.1,107.365,1,0.009314022260513203
NZ_CP101826.1,241.318,2,0.008287819391839812
NZ_CP104742.1,577.8,2,0.0034614053305642095
NZ_CP106967.1,540.216,4,0.007404445629155745
NZ_CP106968.1,296.688,1,0.003370544140646066
NZ_CP106970.1,101.276,1,0.009874007662229947
NZ_CP109980.1,473.209,1,0.0021132311515630513
NZ_CP109981.1,364.652,1,0.0027423406425852595
NZ_CP109982.1,316.817,2,0.006312792558480132
NZ_CP110250.1,474.91,1,0.002105662125455349
NZ_CP110251.1,359.54,1,0.002781331701618735
NZ_CP110252.1,317.901,1,0.0031456333890110444
NZ_CP111037.1,394.338,2,0.005071791204499693
NZ_CP111038.1,142.345,1,0.007025185289262005
NZ_CP119783.1,586.205,2,0.003411775743980348
NZ_CP119784.1,268.757,1,0.003720833317829861
NZ_CP119790.1,335.333,1,0.0029821103201891847
NZ_CP119792.1,598.243,3,0.005014684668270251
NZ_CP119797.1,916.029,2,0.002183336990422792
NZ_CP119806.1,87.025,1,0.011490950876185003
NZ_CP119810.1,427.347,1,0.002340018766950511
NZ_CP119812.1,150.959,1,0.00662431521141502
NZ_CP119813.1,145.234,2,0.013770880096946995
NZ_CP120472.1,620.798,1,0.0016108299317974606
NZ_CP126160.1,167.061,3,0.017957512525364986
NZ_CP126164.1,191.399,4,0.020898750777172296
NZ_CP127175.1,190.949,2,0.010474000911238079
NZ_CP127176.1,86.341,2,0.023163966134281514
NZ_CP128378.1,286.732,1,0.0034875772498360836
NZ_CP135523.1,286.313,1,0.003492681086782647
NZ_CP135524.1,152.84,2,0.01308557969118032
NZ_CP135525.1,102.915,5,0.048583782733323616
NZ_JADPQC010000006.1,201.004,1,0.0049750253726294005
NZ_JAKRVX010000010.1,83.923,1,0.011915684615659592
NZ_KX906370.1,163.229,1,0.006126362349827543
NZ_LN831303.1,349.522,3,0.008583150702960042
NZ_LN831304.1,157.757,1,0.006338862934766761
NZ_LN831305.1,112.459,1,0.008892129576112183
NZ_MJCD01000028.1,16.493,1,0.06063178318074335
NZ_MN918441.1,154.196,1,0.006485252535733742
NZ_MN918442.1,182.942,1,0.0054662133353740525
NZ_MN918443.1,265.979,1,0.00375969531429173
NZ_OX281346.1,103.23,1,0.00968710646130001
NZ_QJOW01000005.1,168.359,4,0.023758753615785316
NZ_QJOW01000006.1,127.365,2,0.015702901110980255
NZ_QKNW01000002.1,181.532,3,0.01652601194279796
