replicon,has_viral_protein
NZ_CP030065.1,1
NZ_CP031147.1,1
NZ_CP031149.1,1
NZ_CP031151.1,1
NZ_CP031152.1,1
NZ_CP031306.1,1
NZ_CP031307.1,1
NZ_CP031308.1,1
NZ_CP031309.1,1
NZ_CP031312.1,1
NZ_CP031313.1,1
NZ_CP031314.1,1
NZ_CP034146.1,1
NZ_CP034344.1,1
NZ_CP034690.1,1
NZ_CP034691.1,1
NZ_CP034693.1,1
NZ_CP034941.1,1
NZ_CP034942.1,1
NZ_CP035120.1,1
NZ_CP035121.1,1
NZ_CP035122.1,1
NZ_CP038632.1,1
NZ_CP038633.1,1
NZ_CP039132.1,1
NZ_CP039133.1,1
NZ_CP039134.1,1
NZ_CP039135.1,1
NZ_CP039136.1,1
NZ_CP039137.1,1
NZ_CP039142.1,1
NZ_CP039376.1,1
NZ_CP040329.1,0
NZ_CP040331.1,1
NZ_CP040332.1,1
NZ_CP040333.1,0
NZ_CP040638.1,1
NZ_CP040639.1,1
NZ_CP040847.1,0
NZ_CP042240.1,1
NZ_CP044130.1,1
NZ_CP044524.1,1
NZ_CP044525.1,1
NZ_CP044526.1,0
NZ_CP045489.1,1
NZ_CP045490.1,1
NZ_CP045491.1,1
NZ_CP053942.1,1
NZ_CP053943.1,1
NZ_CP054586.1,1
NZ_CP054588.1,1
NZ_CP054589.1,1
NZ_CP054590.1,1
NZ_CP054708.1,1
NZ_CP054709.1,1
NZ_CP054710.1,1
NZ_CP054711.1,1
NZ_CP054712.1,1
NZ_CP058530.1,1
NZ_CP058531.1,1
NZ_CP058532.1,1
NZ_CP058580.1,1
NZ_CP063206.1,1
NZ_CP063207.1,1
NZ_CP063208.1,1
NZ_CP064336.1,0
NZ_CP064790.1,1
NZ_CP064792.1,1
NZ_CP069189.1,1
NZ_CP069190.1,1
NZ_CP069191.1,1
NZ_CP069192.1,1
NZ_CP069193.1,1
NZ_CP069377.1,0
NZ_CP070333.1,1
NZ_CP070334.1,1
NZ_CP070335.2,1
NZ_CP070336.1,0
NZ_CP070337.2,1
NZ_CP070375.1,1
NZ_CP070376.1,1
NZ_CP073367.1,1
NZ_CP073368.1,1
NZ_CP073369.1,1
NZ_CP073370.1,1
NZ_CP073371.1,1
NZ_CP073372.1,1
NZ_CP077714.1,1
NZ_CP077716.1,1
NZ_CP078064.1,1
NZ_CP078065.1,1
NZ_CP081959.1,1
NZ_CP081960.1,1
NZ_CP081961.1,0
NZ_CP082247.1,1
NZ_CP082248.1,1
NZ_CP082285.1,1
NZ_CP082287.1,1
NZ_CP082288.1,1
NZ_CP082289.1,1
NZ_CP083664.1,1
NZ_CP083665.1,0
NZ_CP083667.1,1
NZ_CP083668.1,1
NZ_CP083669.1,1
NZ_CP083670.1,0
NZ_CP084319.1,1
NZ_CP084320.1,1
NZ_CP084464.1,1
NZ_CP084465.1,1
NZ_CP084467.1,1
NZ_CP084468.1,1
NZ_CP084470.1,1
NZ_CP084471.1,1
NZ_CP084473.1,1
NZ_CP084474.1,1
NZ_CP084475.1,1
NZ_CP084476.1,1
NZ_CP084477.1,1
NZ_CP084478.1,1
NZ_CP084880.1,1
NZ_CP084881.1,1
NZ_CP084882.1,1
NZ_CP084883.1,1
NZ_CP084884.1,1
NZ_CP084885.1,1
NZ_CP085325.1,1
NZ_CP085883.1,1
NZ_CP085884.1,1
NZ_CP087722.1,1
NZ_CP087725.1,1
NZ_CP089467.1,0
NZ_CP089469.1,1
NZ_CP089470.1,1
NZ_CP089594.1,1
NZ_CP089595.1,1
NZ_CP089596.1,0
NZ_CP090372.1,1
NZ_CP090373.1,1
NZ_CP090374.1,0
NZ_CP095006.1,1
NZ_CP095007.1,1
NZ_CP095008.1,0
NZ_CP095009.1,1
NZ_CP095010.1,1
NZ_CP095398.1,1
NZ_CP095399.1,1
NZ_CP095483.1,1
NZ_CP095484.1,1
NZ_CP095485.1,1
NZ_CP095486.1,1
NZ_CP095492.1,1
NZ_CP095493.1,1
NZ_CP095494.1,1
NZ_CP096020.1,1
NZ_CP096021.1,1
NZ_CP096022.1,1
NZ_CP096023.1,1
NZ_CP098515.1,1
NZ_CP098516.1,1
NZ_CP098517.1,1
NZ_CP098519.1,1
NZ_CP098520.1,1
NZ_CP099392.1,1
NZ_CP099393.1,1
NZ_CP100405.1,1
NZ_CP100406.1,1
NZ_CP100408.1,1
NZ_CP100409.1,1
NZ_CP100410.1,1
NZ_CP100446.1,1
NZ_CP100447.1,1
NZ_CP100449.1,1
NZ_CP100450.1,1
NZ_CP100451.1,1
NZ_CP100452.1,0
NZ_CP100453.1,1
NZ_CP100455.1,1
NZ_CP100456.1,1
NZ_CP100457.1,1
NZ_CP100458.1,1
NZ_CP100459.1,1
NZ_CP100460.1,1
NZ_CP101155.1,1
NZ_CP101324.1,1
NZ_CP101826.1,1
NZ_CP101874.1,1
NZ_CP101875.1,1
NZ_CP101876.1,0
NZ_CP104742.1,1
NZ_CP104743.1,1
NZ_CP104744.1,1
NZ_CP106967.1,1
NZ_CP106968.1,1
NZ_CP106969.1,1
NZ_CP106970.1,1
NZ_CP109786.1,1
NZ_CP109980.1,1
NZ_CP109981.1,1
NZ_CP109982.1,1
NZ_CP110250.1,1
NZ_CP110251.1,1
NZ_CP110252.1,1
NZ_CP111037.1,1
NZ_CP111038.1,0
NZ_CP111039.1,0
NZ_CP111040.1,1
NZ_CP111041.1,1
NZ_CP111042.1,1
NZ_CP119560.1,1
NZ_CP119783.1,1
NZ_CP119784.1,1
NZ_CP119786.1,0
NZ_CP119788.1,1
NZ_CP119790.1,1
NZ_CP119792.1,1
NZ_CP119797.1,1
NZ_CP119798.1,1
NZ_CP119799.1,1
NZ_CP119800.1,1
NZ_CP119801.1,1
NZ_CP119806.1,1
NZ_CP119810.1,1
NZ_CP119811.1,1
NZ_CP119812.1,1
NZ_CP119813.1,1
NZ_CP119990.1,1
NZ_CP119991.1,1
NZ_CP120471.1,1
NZ_CP120472.1,1
NZ_CP126155.1,1
NZ_CP126159.1,1
NZ_CP126160.1,1
NZ_CP126162.1,0
NZ_CP126164.1,1
NZ_CP127175.1,1
NZ_CP127176.1,1
NZ_CP128378.1,1
NZ_CP135523.1,1
NZ_CP135524.1,1
NZ_CP135525.1,1
NZ_CP135526.1,1
NZ_JADPQC010000006.1,1
NZ_JAKRVX010000010.1,1
NZ_KJ619463.1,1
NZ_KR189025.1,0
NZ_KX687704.1,1
NZ_KX906370.1,1
NZ_LN831303.1,1
NZ_LN831304.1,1
NZ_LN831305.1,1
NZ_LR792633.1,0
NZ_LT984489.1,0
NZ_LT984491.1,0
NZ_MJCD01000017.1,0
NZ_MJCD01000019.1,1
NZ_MJCD01000020.1,0
NZ_MJCD01000028.1,0
NZ_MJCD01000041.1,0
NZ_MJCD01000052.1,1
NZ_MN477947.1,1
NZ_MN918441.1,1
NZ_MN918442.1,1
NZ_MN918443.1,1
NZ_MN918444.1,0
NZ_OX281346.1,0
NZ_QJOW01000005.1,1
NZ_QJOW01000006.1,1
NZ_QKNW01000002.1,1
NZ_QKNW01000003.1,1
U95377.1,0
