replicon	AbiE	All_UG	Avs	Azaca	BREX	CBASS	Cas	Ceres	DISARM	DS-11	Druantia	Gabija	HEC-05	Hachiman	Hna	Kiwa	PD-T7-2	PD-T7-4	Prometheus	Pycsar	RM	RloC	Shango	Shedu	ShosTA	SoFIC	Tiamat	Viperin	pAgo	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
NC_001336.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
NC_001732.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus jannaschii
NC_001733.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus jannaschii
NC_001869.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_002608.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_006389.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006392.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006394.1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_008213.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_010366.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010367.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010369.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_012030.1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum lacusprofundi
NC_012624.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_013744.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013746.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013923.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba magadii
NC_013924.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba magadii
NC_013966.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_013968.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_014254.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanohalobium	s__Methanohalobium evestigatum
NC_014298.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014300.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014301.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014736.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_015471.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus_B	s__Thermococcus_B barophilus
NC_015658.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_015667.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_017457.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_017944.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NC_018225.1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema gari
NC_019963.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_019972.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanomethylovorans	s__Methanomethylovorans hollandica
NC_021913.1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus tiamatea
NC_023011.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_AP017559.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halopenitus	s__Halopenitus persicus_A
NZ_AP017570.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum trapanicum_A
NZ_AP017571.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum trapanicum_A
NZ_CP007057.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halostagnicola	s__Halostagnicola larsenii
NZ_CP007554.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NZ_CP008875.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halanaeroarchaeum	s__Halanaeroarchaeum sulfurireducens
NZ_CP010531.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_CP010532.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_CP010533.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_CP011565.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halanaeroarchaeum	s__Halanaeroarchaeum sulfurireducens
NZ_CP014751.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus peptonophilus
NZ_CP019068.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis sp001989615
NZ_CP019156.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula taiwanensis
NZ_CP019157.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula taiwanensis
NZ_CP019286.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halobiforma	s__Halobiforma lacisalsi
NZ_CP019328.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum daqingense
NZ_CP019329.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum daqingense
NZ_CP024045.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrarchaeobaculum	s__Natrarchaeobaculum sulfurireducens
NZ_CP026311.1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
NZ_CP026312.1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
NZ_CP026313.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
NZ_CP027032.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrarchaeobaculum	s__Natrarchaeobaculum sulfurireducens
NZ_CP030065.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp003990725
NZ_CP031147.1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus rubicundus
NZ_CP031149.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus rubicundus
NZ_CP031151.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus rubicundus
NZ_CP031152.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus rubicundus
NZ_CP031306.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum bangense
NZ_CP031308.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum bangense
NZ_CP031314.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobellus	s__Halobellus limi
NZ_CP034146.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus aerogenes
NZ_CP034344.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus salinarum
NZ_CP034691.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp004114375
NZ_CP034693.1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp004114375
NZ_CP034941.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum ezzemoulense
NZ_CP035120.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus pelagicus
NZ_CP035121.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus pelagicus
NZ_CP035122.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus pelagicus
NZ_CP039133.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP039134.1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP040331.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema versiforme_A
NZ_CP040638.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pallidum
NZ_CP042240.1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Salarchaeum	s__Salarchaeum sp007833275
NZ_CP044524.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus halophilus
NZ_CP044525.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus halophilus
NZ_CP045489.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum aibiense
