sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)	predicted_mobility_conjscan	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
NC_001773.1	1	3444	0.43437863	db343c3fc042914fd577e26eaea11d49	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus abyssi
NC_001811.1	1	8285	0.272420036	f062d906481a1a778da3b2d54e9164c2	rep_cluster_11	000355__NC_001811_00002	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus maripaludis_D
NC_001869.1	1	191346	0.579087099	31ad5c7ba18d740d5412da766a42e388	-	-	-	-	-	-	-	-	non-mobilizable	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_002097.1	1	5467	0.375342967	9af7e643630fdb9ba98162aad2ffd123	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
NC_002101.1	1	6959	0.373616899	76450d092b04b41a514e85dc0ef669b6	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_002121.1	1	1736	0.641129032	4ebf6d5da9a448677913404a983cfd94	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_002125.1	1	4439	0.454156342	1e10fd81e93aa61f22d7767b6a23192b	rep_cluster_22	001489__NC_014409_00001	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
NC_002608.1	1	365425	0.59224191	0fdee79e86e1de0758033c34a357d9f1	-	-	-	-	MPF_T	"NC_002608_00127,NC_002608_00126"	-	-	non-mobilizable	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_004852.1	1	24554	0.373381119	15ffd0599acc25839457023503e294d5	-	-	MOB_Unknown	CAG38222	MPF_T	NC_006422_00012	-	-	conjugative	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_004853.1	1	7830	0.350063857	a6d4fc2d541795fd0a704a5d0e2113d1	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_005562.1	1	7598	0.379705186	b492722c922202317e6aed780ec6e18b	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__Acidianus ambivalens
NC_005907.1	1	4967	0.44030602	7be3974437d94bae635937300ac4b9aa	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
NC_006389.1	1	33303	0.542533706	a04c49d8ee613540cbdd0098f16648f8	-	-	-	-	-	-	-	-	non-mobilizable	AG189	AQ210	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006390.1	1	33452	0.556259715	a1415f2dd575ebf93e1d5e85b3dca2b6	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006391.1	1	39521	0.600187242	c42bfda74ca0d5206f10a1213794c6cd	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006392.1	1	50060	0.57349181	9cb42f46b0a6797ea4e491bf4975e2ca	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006393.1	1	132678	0.544822804	0a54da500367d42c59cf3f45a0adacf8	-	-	-	-	MPF_T	NC_006393_00092	-	-	non-mobilizable	AG189	AQ210	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006394.1	1	155300	0.583329041	d055700bd58d495a523dc3ac6e7505b8	-	-	-	-	-	-	-	-	non-mobilizable	AG105	AQ123	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006422.1	1	28930	0.371068095	d26d3afde53c686ed0744c74bd230a34	-	-	MOB_Unknown	CAG38222	MPF_T	NC_006422_00012	-	-	conjugative	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006423.1	1	26200	0.362633588	5e56d1c414d84480c8737302d0fbff5c	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006424.1	1	26476	0.371015259	de4aea6af1f4399cb5800b1cf9f5f337	-	-	-	-	MPF_T	NC_006424_00012	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006425.1	1	35422	0.373214387	d5711202853f7b8bf119b64fc2c77104	rep_cluster_1343	000661__NC_006425_00045	MOB_Unknown	CAG38222	MPF_T	NC_006425_00013	-	-	conjugative	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_007427.1	1	130989	0.572215988	506933120354080681358ebadaf13899	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas pharaonis
NC_007428.1	1	23486	0.605935451	7f1c0909326725c6b7f02130d219c583	-	-	-	-	-	-	-	-	non-mobilizable	AE299	AO051	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas pharaonis
NC_008213.1	1	46867	0.476732029	b7e95bff4017b597b6d89ad24f380127	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_008696.1	1	31504	0.565420264	2cbca0d0d31a262afb12eda7c5025219	-	-	-	-	-	-	-	-	non-mobilizable	AF383	AP325	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei	o__Thermofilales	f__Thermofilaceae	g__Thermofilum_B	s__Thermofilum_B pendens
NC_009136.1	1	8285	0.272420036	5c5af4f508fb2fcd474d2bf2c6bb62da	rep_cluster_11	000355__NC_001811_00002	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus maripaludis_D
NC_009658.1	1	3619	0.458137607	53d1170a97ebfe4361a7e799b6ff24ef	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus nautili
NC_010011.1	1	5705	0.387204207	a7a44453465b95c8f759ff600efd24d0	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010088.1	1	12041	0.613155054	60730c4a872ec1fb3fe65ffb966b8c13	-	-	-	-	-	-	-	-	non-mobilizable	AG445	AQ480	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010365.1	1	6970	0.394548063	926672c405f08cca973622aa6ee782d6	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010366.1	1	147625	0.574482642	3005e142b1a85f39960b23ca9490cb85	-	-	-	-	-	-	-	-	non-mobilizable	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010367.1	1	40894	0.579106959	15ca5fcc477d16e83d1628dfe0e63c53	-	-	-	-	-	-	-	-	non-mobilizable	AG351	AQ382	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010369.1	1	194963	0.585900915	f178ac6e6dc88fedfbd41679290b06ef	-	-	-	-	-	-	-	-	non-mobilizable	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010597.1	1	29000	0.358172414	2e3f20d6bb318542f34f0927739bae40	-	-	-	-	MPF_T	NC_010597_00011	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010598.1	1	25960	0.367334361	dd841dcbebab6fc0aab1dab0ab0f54fe	-	-	MOB_Unknown	ABE99654	MPF_T	NC_010598_00011	-	-	conjugative	AA564	AI778	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_011299.1	1	28649	0.359209746	2ce726def3489c4327546dfbc354efd5	-	-	-	-	-	-	-	-	non-mobilizable	AA378	AI390	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__Acidianus hospitalis
NC_012030.1	1	431338	0.548609211	0fa74ddc3e7bb7f6b6ffbc8af217866a	-	-	-	-	MPF_unknown	NC_012030_00379	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum lacusprofundi
