qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	query_coverage	source_plasmid	target_category	source_phylum	source_family	target_phylum	target_family	target_plasmid
CP040680_1_1__spacer0	CP046867.1	100.0	37	0	0	1	37	89068	89032	2.31e-12	73.8	37	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer1	CP046867.1	100.0	37	0	0	1	37	88994	88958	2.31e-12	73.8	37	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer2	CP046867.1	100.0	36	0	0	1	36	88920	88885	8.65e-12	71.9	36	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer3	CP046867.1	100.0	37	0	0	1	37	88847	88811	2.31e-12	73.8	37	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer4	CP046867.1	100.0	39	0	0	1	39	88773	88735	1.64e-13	77.8	39	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer5	CP046867.1	100.0	36	0	0	1	36	88697	88662	8.65e-12	71.9	36	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer6	CP046867.1	100.0	36	0	0	1	36	88624	88589	8.65e-12	71.9	36	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer7	CP046867.1	100.0	36	0	0	1	36	88551	88516	8.65e-12	71.9	36	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer8	CP046867.1	100.0	38	0	0	1	38	88478	88441	6.16e-13	75.8	38	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer9	CP046867.1	100.0	35	0	0	1	35	88403	88369	3.23e-11	69.9	35	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer10	CP046867.1	100.0	37	0	0	1	37	88331	88295	2.31e-12	73.8	37	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer11	CP046867.1	100.0	35	0	0	1	35	88257	88223	3.23e-11	69.9	35	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer12	CP046867.1	100.0	38	0	0	1	38	88185	88148	6.16e-13	75.8	38	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_1__spacer13	CP046867.1	100.0	37	0	0	1	37	88110	88074	2.31e-12	73.8	37	316107	100.0	CP040680_1_1	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer0	CP046867.1	100.0	37	0	0	1	37	78007	77971	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer1	CP046867.1	100.0	38	0	0	1	38	77933	77896	6.16e-13	75.8	38	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer2	CP046867.1	100.0	36	0	0	1	36	77858	77823	8.65e-12	71.9	36	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer3	CP046867.1	100.0	36	0	0	1	36	77785	77750	8.65e-12	71.9	36	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer4	CP046867.1	100.0	39	0	0	1	39	77712	77674	1.64e-13	77.8	39	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer5	CP046867.1	100.0	34	0	0	1	34	77636	77603	1.2e-10	67.9	34	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer6	CP046867.1	100.0	34	0	0	1	34	77565	77532	1.2e-10	67.9	34	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer7	CP046867.1	100.0	37	0	0	1	37	77494	77458	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer8	CP046867.1	100.0	54	0	0	1	54	77420	77367	3.14e-22	107.0	54	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer9	CP046867.1	100.0	35	0	0	1	35	77329	77295	3.23e-11	69.9	35	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer10	CP046867.1	100.0	37	0	0	1	37	77257	77221	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer11	CP046867.1	100.0	37	0	0	1	37	77183	77147	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer12	CP046867.1	100.0	55	0	0	1	55	77109	77055	8.159999999999999e-23	109.0	55	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer13	CP046867.1	100.0	48	0	0	1	48	77017	76970	9.95e-19	95.6	48	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer14	CP046867.1	100.0	37	0	0	1	37	76932	76896	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer15	CP046867.1	100.0	37	0	0	1	37	76858	76822	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer16	CP046867.1	100.0	37	0	0	1	37	76784	76748	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer17	CP046867.1	100.0	34	0	0	1	34	76710	76677	1.2e-10	67.9	34	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer18	CP046867.1	100.0	36	0	0	1	36	76566	76531	8.65e-12	71.9	36	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer18	CP046867.1	100.0	36	0	0	1	36	76639	76604	8.65e-12	71.9	36	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer19	CP046867.1	100.0	36	0	0	1	36	76493	76458	8.65e-12	71.9	36	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer20	CP046867.1	100.0	37	0	0	1	37	76420	76384	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer21	CP046867.1	100.0	35	0	0	1	35	76346	76312	3.23e-11	69.9	35	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer22	CP046867.1	100.0	40	0	0	1	40	76274	76235	4.34e-14	79.8	40	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer23	CP046867.1	100.0	36	0	0	1	36	76197	76162	8.65e-12	71.9	36	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer24	CP046867.1	100.0	38	0	0	1	38	76124	76087	6.16e-13	75.8	38	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer25	CP046867.1	100.0	37	0	0	1	37	76049	76013	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer26	CP046867.1	100.0	36	0	0	1	36	75975	75940	8.65e-12	71.9	36	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer27	CP046867.1	100.0	33	0	0	1	33	75902	75870	4.45e-10	65.9	33	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer28	CP046867.1	100.0	35	0	0	1	35	75832	75798	3.23e-11	69.9	35	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer29	CP046867.1	100.0	37	0	0	1	37	75760	75724	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer30	CP046867.1	100.0	37	0	0	1	37	75686	75650	2.31e-12	73.8	37	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer31	CP046867.1	100.0	38	0	0	1	38	75612	75575	6.16e-13	75.8	38	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP040680_1_2__spacer32	CP046867.1	100.0	35	0	0	1	35	75537	75503	3.23e-11	69.9	35	316107	100.0	CP040680_1_2	plasmid	p__Halobacteriota	f__QS-9-68-17	p__Halobacteriota	f__Haloarculaceae	CP046867.1
CP046867_1_1__spacer0	CP040680.1	100.0	35	0	0	1	35	220036	220002	3.23e-11	69.9	35	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer1	CP040680.1	100.0	38	0	0	1	38	219964	219927	6.16e-13	75.8	38	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer2	CP040680.1	100.0	37	0	0	1	37	219889	219853	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer3	CP040680.1	100.0	37	0	0	1	37	219815	219779	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer4	CP040680.1	100.0	35	0	0	1	35	219741	219707	3.23e-11	69.9	35	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer5	CP040680.1	100.0	33	0	0	1	33	219669	219637	4.45e-10	65.9	33	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer6	CP040680.1	100.0	36	0	0	1	36	219599	219564	8.65e-12	71.9	36	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer7	CP040680.1	100.0	37	0	0	1	37	219526	219490	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer8	CP040680.1	100.0	38	0	0	1	38	219452	219415	6.16e-13	75.8	38	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer9	CP040680.1	100.0	36	0	0	1	36	219377	219342	8.65e-12	71.9	36	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer10	CP040680.1	100.0	40	0	0	1	40	219304	219265	4.34e-14	79.8	40	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer11	CP040680.1	100.0	35	0	0	1	35	219227	219193	3.23e-11	69.9	35	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer12	CP040680.1	100.0	37	0	0	1	37	219155	219119	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer13	CP040680.1	100.0	36	0	0	1	36	219081	219046	8.65e-12	71.9	36	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer14	CP040680.1	100.0	36	0	0	1	36	218935	218900	8.65e-12	71.9	36	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer14	CP040680.1	100.0	36	0	0	1	36	219008	218973	8.65e-12	71.9	36	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer15	CP040680.1	100.0	34	0	0	1	34	218862	218829	1.2e-10	67.9	34	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer16	CP040680.1	100.0	37	0	0	1	37	218791	218755	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer17	CP040680.1	100.0	37	0	0	1	37	218717	218681	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer18	CP040680.1	100.0	37	0	0	1	37	218643	218607	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer19	CP040680.1	100.0	48	0	0	1	48	218569	218522	9.95e-19	95.6	48	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer20	CP040680.1	100.0	55	0	0	1	55	218484	218430	8.159999999999999e-23	109.0	55	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer21	CP040680.1	100.0	37	0	0	1	37	218392	218356	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer22	CP040680.1	100.0	37	0	0	1	37	218318	218282	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer23	CP040680.1	100.0	35	0	0	1	35	218244	218210	3.23e-11	69.9	35	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer24	CP040680.1	100.0	54	0	0	1	54	218172	218119	3.14e-22	107.0	54	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer25	CP040680.1	100.0	37	0	0	1	37	218081	218045	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer26	CP040680.1	100.0	34	0	0	1	34	218007	217974	1.2e-10	67.9	34	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer27	CP040680.1	100.0	34	0	0	1	34	217936	217903	1.2e-10	67.9	34	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer28	CP040680.1	100.0	39	0	0	1	39	217865	217827	1.64e-13	77.8	39	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer29	CP040680.1	100.0	36	0	0	1	36	217789	217754	8.65e-12	71.9	36	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer30	CP040680.1	100.0	36	0	0	1	36	217716	217681	8.65e-12	71.9	36	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer31	CP040680.1	100.0	38	0	0	1	38	217643	217606	6.16e-13	75.8	38	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_1__spacer32	CP040680.1	100.0	37	0	0	1	37	217568	217532	2.31e-12	73.8	37	316071	100.0	CP046867_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer0	CP040680.1	100.0	37	0	0	1	37	207465	207429	2.31e-12	73.8	37	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer1	CP040680.1	100.0	38	0	0	1	38	207391	207354	6.16e-13	75.8	38	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer2	CP040680.1	100.0	35	0	0	1	35	207316	207282	3.23e-11	69.9	35	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer3	CP040680.1	100.0	37	0	0	1	37	207244	207208	2.31e-12	73.8	37	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer4	CP040680.1	100.0	35	0	0	1	35	207170	207136	3.23e-11	69.9	35	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer5	CP040680.1	100.0	38	0	0	1	38	207098	207061	6.16e-13	75.8	38	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer6	CP040680.1	100.0	36	0	0	1	36	207023	206988	8.65e-12	71.9	36	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer7	CP040680.1	100.0	36	0	0	1	36	206950	206915	8.65e-12	71.9	36	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer8	CP040680.1	100.0	36	0	0	1	36	206877	206842	8.65e-12	71.9	36	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer9	CP040680.1	100.0	39	0	0	1	39	206804	206766	1.64e-13	77.8	39	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer10	CP040680.1	100.0	37	0	0	1	37	206728	206692	2.31e-12	73.8	37	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer11	CP040680.1	100.0	36	0	0	1	36	206654	206619	8.65e-12	71.9	36	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer12	CP040680.1	100.0	37	0	0	1	37	206581	206545	2.31e-12	73.8	37	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP046867_1_2__spacer13	CP040680.1	100.0	37	0	0	1	37	206507	206471	2.31e-12	73.8	37	316071	100.0	CP046867_1_2	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__QS-9-68-17	CP040680.1
CP050018_1_1__spacer31	CP031301.1	97.059	34	1	0	1	34	21307	21274	2.93e-08	60.0	34	49411	100.0	CP050018_1_1	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__Natrialbaceae	CP031301.1
NC_006392_1_2__spacer9	NC_021471	97.297	37	1	0	1	37	3729	3765	5.63e-10	65.9	37	32189	100.0	NC_006392_1_2	virus					NC_021471
NC_006392_1_3__spacer8	NC_021471	97.297	37	1	0	1	37	3362	3398	5.63e-10	65.9	37	32189	100.0	NC_006392_1_3	virus	p__Halobacteriota	f__Haloarculaceae			NC_021471
