accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_004681185.1	0	99.45	0.53	395	f__Halobacteriaceae (UID85)	250	0	4344768	86.23033441	50	3122923	61.99878858	5038561	RS_GCF_004681185.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicroarcula;s__Halomicroarcula amylolytica	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula amylolytica	type strain of species	LPSN	f	3	2	1439853	1439853	1291	1	770	NZ_SRIF01000027.1	none	0	none	none	776	979	0	89.691	AY596297.1103676.1106597	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula;Haloarcula marismortui ATCC 43049	100741	148192	f	f	t	539826	1435272	Scaffold	ASM468118v1	na	PRJNA224116	SAMN11269098	50	539826	China: Yunnan	05.04.19	GCA_004681185.1	none	full	none	Salt mine	23.40 N 101.66 E	0	0	Halomicroarcula amylolytica	none	representative genome	4	34	2	1435272	180178	100705	05.04.19	16	2562280	3	LR21	Anhui University	2562280	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicroarcula;s__Halomicroarcula amylolytica	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicroarcula;s__Halomicroarcula amylolytica	1490	5038561	11	46	assembly from type material	5037071	0	SRIF00000000.1	5203	34	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1490	19	46	0
RS_GCF_004363215.1	11	94.12	0.65	228	p__Euryarchaeota (UID49)	153	0	1447554	81.17199578	15	748624	41.98410308	1783317	RS_GCF_004363215.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__Methanimicrococcus blatticola	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanimicrococcus	s__Methanimicrococcus blatticola	type strain of species	LPSN	t	3	3	447031	447654	5408	1	2915	NZ_SNYS01000001.1	5408	1	117	NZ_SNYS01000001.1	2923	3417	0	88.06	CP009517.54671.57570	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina barkeri 3	118874	137178	t	f	f	240712	240712	Scaffold	ASM436321v1	na	PRJNA224116	SAMN08769569	15	240712	none	22.03.19	GCA_004363215.1	none	full	none	none	none	0	0	Methanimicrococcus blatticola	none	representative genome	3	13	3	240712	237277	208252	22.03.19	2	91560	1	DSM 13328	DOE Joint Genome Institute	91560	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__Methanimicrococcus blatticola	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__Methanimicrococcus blatticola	193	1783317	11	46	assembly from type material	1783124	0	SNYS00000000.1	1568	13	5408	1	none	none	none	none	none	none	1475	NZ_SNYS01000001.1	1455	2604	0	99.038	AJ238002.1.1453	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanimicrococcus;Methanimicrococcus blatticola	193	19	46	0
RS_GCF_004799685.1	0	99.55	0.95	417	f__Halobacteriaceae (UID96)	263	0	3222928	85.94726779	4	2469721	65.86115859	3749890	RS_GCF_004799685.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus;s__Halobellus limi	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobellus	s__Halobellus limi	type strain of species	LPSN	f	1	1	2958395	2958395	2958395	2	2901	NZ_CP031311.1	2958395	2	116	NZ_CP031311.1	2823	4490	0	95.466	BBJO01000067.545.3359	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus;Halobellus rufus	937472	937472	t	f	f	2958395	2958395	Complete Genome	ASM479968v1	na	PRJNA224116	SAMN09711302	none	none	China	18.04.19	GCA_004799685.1	none	full	none	Taibei marine solar saltern near Lianyungang city	none	4	0	Halobellus limi	none	na	6	4	1	2958395	2958395	207965	18.04.19	0	699433	2	CGMCC 1.10331	Wuhan University	699433	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halobellus;s__Halobellus limi	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halobellus;s__Halobellus limi	0	3749890	11	51	assembly from type material	3749890	0	none	3710	4	2958395	2	none	none	none	none	none	none	1472	NZ_CP031311.1	1472	2702	0	99.796	AB771430.1.1472	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus;Halobellus salinus	0	19	50	0
RS_GCF_004698125.1	0	99.53	2.4	395	f__Halobacteriaceae (UID85)	250	14.29	3887578	87.02170362	9	3126812	69.99260859	4467366	RS_GCF_004698125.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosimplex;s__Halosimplex halophilum	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halosimplex	s__Halosimplex halophilum	type strain of species	LPSN	f	2	1	1648880	2250225	1296	2	1293	NZ_SRHV01000009.1	2250225	3	114	NZ_ML214297.1	1299	2058	0	95.381	AJ586107.1931.5031	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halosimplex;Halosimplex carlsbadense	496371	638195	f	f	t	827961	2250225	Scaffold	ASM469812v1	na	PRJNA224116	SAMN11242085	9	827961	China: Gobi Desert; Xinjiang	08.04.19	GCA_004698125.1	none	full	none	hypersaline alkaline lake	none	0	0	Halosimplex halophilum	none	representative genome	11	7	1	2250225	1126670	799750	08.04.19	2	2559572	2	TH32	Jiangsu University	2559572	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosimplex;s__Halosimplex halophilum	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosimplex;s__Halosimplex halophilum	20	4467366	11	47	assembly from type material	4467346	0	SRHV00000000.1	4358	7	1126670	2	none	none	none	none	none	none	1472	NZ_ML214298.1	1478	2420	0	96.346	KM386641.1.1473	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halosimplex;Halosimplex litoreum	20	19	47	0
RS_GCF_005406125.1	0	99.47	0.4	395	f__Halobacteriaceae (UID85)	250	0	3674321	87.12558124	33	2617892	62.07551331	4217270	RS_GCF_005406125.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula mannanilytica	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula mannanilytica	type strain of species	LPSN	f	3	3	1401891	1401891	1401891	1	2913	NZ_BIXZ01000001.1	1401891	3	117	NZ_BIXZ01000001.1	2913	5186	0	98.798	BCNA01000003.135344.138267	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula;Haloarcula sp. CBA1128	127796	127796	t	f	f	305109	305109	Contig	ASM540612v1	na	PRJNA224116	SAMD00159535	33	305109	none	16.04.19	GCA_005406125.1	none	full	none	none	none	0	0	Haloarcula mannanilytica	none	representative genome	7	none	none	none	none	none	16.04.19	0	2509225	3	MD130-1	"Functional Genome group, Center for Gene Research, Nagoya University"	2509225	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula mannanilytica	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula mannanilytica	0	4217270	11	46	assembly from type material	4217270	0	BIXZ00000000.1	4295	33	1401891	1	none	none	none	none	none	none	1472	NZ_BIXZ01000001.1	1472	2630	0	98.845	KU198855.1.1472	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula;Haloarcula rubripromontorii	0	19	45	0
RS_GCF_005435015.1	0	99.19	0.89	417	f__Halobacteriaceae (UID96)	263	50	3092623	84.71266361	920	2432980	66.67678839	3650721	RS_GCF_900111935.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sodomense	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sodomense	not type material	none	f	15	13	359541	359541	3822	10	1559	NZ_SGXU01000062.1	359541	1	117	NZ_SGXU01000001.1	1559	2857	0	99.743	FOYN01000009.155.2466	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum sodomense	3966	4300	f	f	t	65574	105808	Scaffold	ASM543501v1	na	PRJNA224116	SAMN10910422	920	65574	Israel	16.05.19	GCA_005435015.1	none	full	none	saturated brine	31.230390 N 35.378029 E	0	0	Halorubrum sp. SP9	none	na	14	849	13	105808	29051	1805	16.05.19	71	1537267	4	SP9	University of Connecticut	1537267	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;x__unclassified Halorubrum;s__Halorubrum sp. SP9	1805	3650721	11	50	none	3648916	0	SGXU00000000.1	4105	849	3822	5	none	none	none	none	none	none	1469	NZ_SGXU01000062.1	1469	2702	0	99.864	AB663420.1.1470	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum sodomense	1805	19	50	0
RS_GCF_005435195.1	0	99.19	0.76	417	f__Halobacteriaceae (UID96)	263	66.67	2863513	84.05755282	962	2293940	67.41322744	3406610	RS_GCF_900111935.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sodomense	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sodomense	not type material	none	f	11	9	247743	264256	3180	10	1261	NZ_SGTU01000041.1	263637	2	117	NZ_SGTU01000002.1	1261	2279	0	99.286	AP017569.8384.11296	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum trapanicum	3537	3920	f	f	t	98600	119018	Scaffold	ASM543519v1	na	PRJNA224116	SAMN10910419	962	98600	Israel	16.05.19	GCA_005435195.1	none	full	none	saturated brine	31.230390 N 35.378029 E	0	0	Halorubrum sp. SP3	none	na	16	869	9	119018	73487	1324	16.05.19	93	1537265	4	SP3	University of Connecticut	1537265	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;x__unclassified Halorubrum;s__Halorubrum sp. SP3	3806	3406610	11	48	none	3402804	0	SGTU00000000.1	3862	869	3180	4	none	none	none	none	none	none	1396	NZ_SGTU01000041.1	1396	2567	0	99.857	AB663420.1.1470	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum sodomense	3806	19	48	0
RS_GCF_005435135.1	0	99.19	0.76	417	f__Halobacteriaceae (UID96)	263	0	3123359	86.21623517	105	2440570	67.37059861	3622704	RS_GCF_013267195.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum salinarum	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum salinarum	not type material	none	f	5	5	510562	510562	5419	1	2906	NZ_SGUA01000030.1	5419	1	118	NZ_SGUA01000030.1	2901	5265	0	99.448	LIST01000001.266604.269502	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum sp. 5	34500	34833	t	f	f	287671	287671	Scaffold	ASM543513v1	na	PRJNA224116	SAMN10910412	105	287671	Spain: Huelva	16.05.19	GCA_005435135.1	none	full	none	saturated brine	37.271106 N 6.957887 W	0	0	Halorubrum sp. ASP1	none	na	3	104	5	287671	182364	48449	16.05.19	1	2518114	1	ASP1	University of Connecticut	2518114	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;x__unclassified Halorubrum;s__Halorubrum sp. ASP1	100	3622704	11	51	none	3622604	0	SGUA00000000.1	3675	104	5419	1	none	none	none	none	none	none	1469	NZ_SGUA01000030.1	1469	2680	0	99.592	AB576126.1.1470	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum ezzemoulense	100	19	50	0
RS_GCF_005435235.1	0	99.87	0.1	417	f__Halobacteriaceae (UID96)	263	0	3089210	85.50610833	86	2417160	66.90446581	3612853	RS_GCF_002114285.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ezzemoulense	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum ezzemoulense	not type material	none	f	10	10	325071	325071	5376	1	2902	NZ_SGUB01000055.1	5376	3	117	NZ_SGUB01000055.1	2893	5260	0	99.482	NEDJ01000119.292.3184	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum ezzemoulense DSM 17463	42009	42009	t	f	f	117779	117779	Contig	ASM543523v1	na	PRJNA224116	SAMN10910411	86	117779	Mexico: Baja	16.05.19	GCA_005435235.1	none	full	none	saturated brine	27.886495 N 113.483909 W	0	0	Halorubrum sp. GN12_10-3_MGM	none	na	5	none	none	none	none	none	16.05.19	0	2518113	1	GN12_10-3_MGM	University of Connecticut	2518113	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;x__unclassified Halorubrum;s__Halorubrum sp. GN12_10-3_MGM	0	3612853	11	60	none	3612853	0	SGUB00000000.1	3609	86	5376	1	none	none	none	none	none	none	1469	NZ_SGUB01000055.1	1469	2713	0	100	AB663407.1.1470	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum chaoviator	0	19	60	0
RS_GCF_005435095.1	0	99.87	0	417	f__Halobacteriaceae (UID96)	263	0	3044101	86.46385638	53	2369598	67.30583021	3520663	RS_GCF_002114285.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ezzemoulense	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum ezzemoulense	not type material	none	f	7	7	326336	326336	5179	1	2902	NZ_SGTY01000036.1	5179	3	117	NZ_SGTY01000036.1	2893	5271	0	99.551	NEDJ01000119.292.3184	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum ezzemoulense DSM 17463	66427	69032	t	f	f	191381	191381	Scaffold	ASM543509v1	na	PRJNA224116	SAMN10910415	53	191381	USA: San Francisco	16.05.19	GCA_005435095.1	none	full	none	saturated brine	37.789162 N 122.478101 W	0	0	Halorubrum sp. CGM5_25_10-8B	none	na	7	51	7	191381	85773	41086	16.05.19	2	2518115	3	CGM5_25_10-8B	University of Connecticut	2518115	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;x__unclassified Halorubrum;s__Halorubrum sp. CGM5_25_10-8B	20	3520663	11	48	none	3520643	0	SGTY00000000.1	3449	51	5179	1	none	none	none	none	none	none	1469	NZ_SGTY01000036.1	1469	2708	0	99.932	AB576126.1.1470	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum ezzemoulense	20	19	48	0
RS_GCF_005435225.1	0	99.57	0.81	417	f__Halobacteriaceae (UID96)	263	0	2899227	85.8222857	147	2297859	68.02072125	3378175	RS_GCF_013267195.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum salinarum	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum salinarum	not type material	none	f	7	7	343327	343327	5359	1	2906	NZ_SGXX01000030.1	5359	3	118	NZ_SGXX01000030.1	2901	5254	0	99.38	LIST01000001.266604.269502	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum sp. 5	22980	22980	t	f	f	142149	142149	Contig	ASM543522v1	na	PRJNA224116	SAMN10910413	147	142149	Spain: Huelva	16.05.19	GCA_005435225.1	none	full	none	saturated brine	37.271106 N 6.957887 W	0	0	Halorubrum sp. ASP121	none	na	5	none	none	none	none	none	16.05.19	0	1855858	1	ASP121	University of Connecticut	1855858	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;x__unclassified Halorubrum;s__Halorubrum sp. ASP121	0	3378175	11	47	none	3378175	0	SGXX00000000.1	3470	147	5359	1	none	none	none	none	none	none	1469	NZ_SGXX01000030.1	1469	2675	0	99.523	AB663422.1.1470	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum terrestre	0	19	47	0
RS_GCF_006740685.1	0	100	0.97	145	k__Archaea (UID2)	103	0	1367518	91.19096838	1	506287	33.76101946	1499620	RS_GCF_006740685.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp006740685	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp006740685	not type material	none	f	1	1	1499620	1499620	1499620	1	2963	NZ_CP035425.1	1499620	1	112	NZ_CP035425.1	2963	5378	0	99.426	CP010868.951429.954404	Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;Candidatus Nitrosopumilus piranensis	1499620	1499620	t	f	f	1499620	1499620	Complete Genome	ASM674068v1	na	PRJNA224116	SAMN10782659	none	none	South Korea	08.07.19	GCA_006740685.1	none	full	none	Marine water column	none	1	0	Candidatus Nitrosopumilus sp. SW	none	na	3	1	1	1499620	1499620	1499620	08.07.19	0	2508726	1	SW	Korea Institute of Geoscience and Mineral Resources	2508726	d__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	d__Archaea;x__TACK group;p__Thaumarchaeota;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;x__unclassified Nitrosopumilus;s__Candidatus Nitrosopumilus sp. SW	0	1499620	11	43	none	1499620	0	none	1833	1	1499620	1	none	none	none	none	none	none	1469	NZ_CP035425.1	1469	2673	0	99.523	CP000866.896241.897709	Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;Nitrosopumilus maritimus SCM1	0	19	43	0
RS_GCF_006274605.1	0	100	0	299	p__Euryarchaeota (UID4)	202	0	2025686	90.67488507	2	1225686	54.86483946	2234010	RS_GCF_006274605.1	t	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus indicus	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus indicus	type strain of species	LPSN	f	1	1	2226336	2226336	2226336	1	3011	NZ_CP040846.1	2226336	2	104	NZ_CP040846.1	2984	5448	0	99.631	CP002920.1625737.1628725	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus sp. 4557	1117005	1117005	t	f	f	2226336	2226336	Complete Genome	ASM627460v1	na	PRJNA224116	SAMN11959431	none	none	Indian Ocean: Onnuri Vent Field; Central Indian Ocean ridge	12.06.19	GCA_006274605.1	none	full	none	hydrothermal vent area derived sediment	11.24 S 66.25 E	2	0	Thermococcus indicus	none	representative genome	4	2	1	2226336	2226336	2226336	12.06.19	0	2586643	1	IOH1	Korea Institute of Ocean Science & Technology (KIOST)	2586643	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus indicus	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus indicus	0	2234010	11	46	assembly from type material	2234010	0	none	2406	2	2226336	1	none	none	none	none	none	none	1484	NZ_CP040846.1	1486	2710	0	99.596	CP002920.1623995.1625490	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus sp. 4557	0	19	46	0
RS_GCF_009617995.1	0	99.53	0	395	f__Halobacteriaceae (UID85)	250	0	2891020	86.84268786	2	2182159	65.54937458	3329031	RS_GCF_009617995.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium sp009617995	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium sp009617995	not type material	none	f	1	1	3105114	3105114	3105114	3	2903	NZ_CP044129.1	3105114	3	117	NZ_CP044129.1	2898	5166	0	98.827	AQZY01000017.99201.102107	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;Halomicrobium katesii DSM 19301	1664515	1664515	t	f	f	3105114	3105114	Complete Genome	ASM961799v1	na	PRJNA224116	SAMN12757031	none	none	Italy: Trapani; Sicily	07.11.19	GCA_009617995.1	none	full	none	ENVO:01001050	37.85 N 12.48 E	2	0	Halomicrobium sp. LC1Hm	none	na	9	2	1	3105114	3105114	3105114	07.11.19	0	2610902	3	LC1Hm	C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM)	2610902	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;x__unclassified Halomicrobium;s__Halomicrobium sp. LC1Hm	0	3329031	11	48	none	3329031	0	none	3391	2	3105114	3	none	none	none	none	none	none	1473	NZ_CP044129.1-#2	1473	2647	0	99.117	CP001689.16033.17504	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;Halomicrobium mukohataei DSM 12286	0	19	47	0
