replicon,protein,category,description,phylum,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,phylum_clean,family_clean,new_category
CP002989.1,CP002989.1_634,lysis,COG2303 Choline dehydrogenase and related flavoproteins,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Osmolyte transport
CP002989.1,CP002989.1_653,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_691,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_706,integrase,"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP007061.1,CP007061.1_60,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium sp000230955,Halobacteriota,Halobacteriaceae,Integrase
CP007061.1,CP007061.1_170,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium sp000230955,Halobacteriota,Halobacteriaceae,Phage replication
CP007061.1,CP007061.1_206,integrase,integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium sp000230955,Halobacteriota,Halobacteriaceae,Integrase
CP007061.1,CP007061.1_226,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium sp000230955,Halobacteriota,Halobacteriaceae,Integrase
CP031298.1,CP031298.1_12,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031298.1,CP031298.1_21,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031298.1,CP031298.1_65,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031298.1,CP031298.1_81,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Phage replication
CP031299.1,CP031299.1_40,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031300.1,CP031300.1_12,integrase,"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031300.1,CP031300.1_17,integrase,integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031301.1,CP031301.1_51,tail,phage tail tape measure protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Tail & baseplate
CP031301.1,CP031301.1_61,integrase,Phage integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031301.1,CP031301.1_65,integrase,integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031304.1,CP031304.1_195,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031304.1,CP031304.1_295,lysis,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Metabolic enzymes
CP031304.1,CP031304.1_296,lysis,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Metabolic enzymes
CP031304.1,CP031304.1_310,lysis,COG1253 Hemolysins and related proteins containing CBS domains,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Lysis & membrane
CP031304.1,CP031304.1_382,lysis,Catalyzes the hydrolysis of inorganic pyrophosphate (PPi) forming two phosphate ions,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Metabolic enzymes
CP031304.1,CP031304.1_424,lysis,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Metabolic enzymes
CP031304.1,CP031304.1_466,lysis,COG1253 Hemolysins and related proteins containing CBS domains,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Lysis & membrane
CP031304.1,CP031304.1_560,virion,COG3654 Prophage maintenance system killer protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Prophage maintenance
CP031304.1,CP031304.1_785,lysis,COG1253 Hemolysins and related proteins containing CBS domains,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Lysis & membrane
CP031304.1,CP031304.1_807,packaging,DNA-packaging protein gp3,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,DNA packaging
CP031304.1,CP031304.1_809,packaging,chromosome segregation,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,DNA packaging
CP031304.1,CP031304.1_811,virion,"head morphogenesis protein, SPP1 gp7",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Capsid & head
CP031304.1,CP031304.1_820,tail,"Phage protein, HK97, gp10",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Capsid & head
CP031304.1,CP031304.1_835,tail,"Phage tail tape measure protein, TP901 family",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Tail & baseplate
CP031304.1,CP031304.1_864,integrase,integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031304.1,CP031304.1_886,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP031304.1,CP031304.1_902,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Phage replication
CP031304.1,CP031304.1_1079,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,Halobacteriota,Natrialbaceae,Integrase
CP040679.1,CP040679.1_17,lysis,COG3486 Lysine ornithine N-monooxygenase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,Halobacteriota,QS-9-68-17,Metabolic enzymes
CP040679.1,CP040679.1_183,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,Halobacteriota,QS-9-68-17,Integrase
CP040680.1,CP040680.1_31,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,Halobacteriota,QS-9-68-17,Integrase
CP040680.1,CP040680.1_57,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,Halobacteriota,QS-9-68-17,Integrase
CP040680.1,CP040680.1_58,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,Halobacteriota,QS-9-68-17,Integrase
CP040680.1,CP040680.1_108,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,Halobacteriota,QS-9-68-17,Integrase
CP040680.1,CP040680.1_165,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,Halobacteriota,QS-9-68-17,Phage replication
CP040680.1,CP040680.1_194,virion,COG3654 Prophage maintenance system killer protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,Halobacteriota,QS-9-68-17,Prophage maintenance
CP040681.1,CP040681.1_44,virion,Phage SPO1 DNA,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,Halobacteriota,QS-9-68-17,Phage replication
CP046867.1,CP046867.1_130,virion,COG3654 Prophage maintenance system killer protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum,Halobacteriota,Haloarculaceae,Prophage maintenance
CP046867.1,CP046867.1_160,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum,Halobacteriota,Haloarculaceae,Phage replication
CP046867.1,CP046867.1_219,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum,Halobacteriota,Haloarculaceae,Integrase
CP046867.1,CP046867.1_271,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum,Halobacteriota,Haloarculaceae,Integrase
CP046867.1,CP046867.1_272,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum,Halobacteriota,Haloarculaceae,Integrase
CP046867.1,CP046867.1_300,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum,Halobacteriota,Haloarculaceae,Integrase
CP046868.1,CP046868.1_4,virion,Phage SPO1 DNA,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum,Halobacteriota,Haloarculaceae,Phage replication
CP050015.1,CP050015.1_148,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050015.1,CP050015.1_149,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050015.1,CP050015.1_267,lysis,"Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Metabolic enzymes
CP050015.1,CP050015.1_270,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Osmolyte transport
CP050015.1,CP050015.1_291,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Osmolyte transport
CP050015.1,CP050015.1_292,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Osmolyte transport
CP050015.1,CP050015.1_398,lysis,"Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Metabolic enzymes
CP050015.1,CP050015.1_446,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050015.1,CP050015.1_463,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050016.1,CP050016.1_51,lysis,COG1253 Hemolysins and related proteins containing CBS domains,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Lysis & membrane
CP050016.1,CP050016.1_52,lysis,COG1253 Hemolysins and related proteins containing CBS domains,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Lysis & membrane
CP050016.1,CP050016.1_77,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050016.1,CP050016.1_232,integrase,Phage integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050016.1,CP050016.1_297,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050016.1,CP050016.1_298,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050017.1,CP050017.1_195,integrase,integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050017.1,CP050017.1_253,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050018.1,CP050018.1_112,virion,PFAM phage,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Capsid & head
CP050018.1,CP050018.1_146,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP050018.1,CP050018.1_150,lysis,COG1253 Hemolysins and related proteins containing CBS domains,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Lysis & membrane
CP050019.1,CP050019.1_34,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,Halobacteriota,Haloarculaceae,Integrase
CP104004.1,CP104004.1_60,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0022],Halobacteriota,Haloarculaceae,Integrase
CP104004.1,CP104004.1_106,integrase,Phage integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0022],Halobacteriota,Haloarculaceae,Integrase
CP104004.1,CP104004.1_127,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0022],Halobacteriota,Haloarculaceae,Phage replication
CP104004.1,CP104004.1_138,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0022],Halobacteriota,Haloarculaceae,Integrase
CP104004.1,CP104004.1_142,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0022],Halobacteriota,Haloarculaceae,Integrase
CP119561.1,CP119561.1_4,integrase,"COG1961 Site-specific recombinases, DNA invertase Pin homologs",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0002],Halobacteriota,Haloarculaceae,Integrase
CP119561.1,CP119561.1_274,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0002],Halobacteriota,Haloarculaceae,Integrase
CP119561.1,CP119561.1_333,integrase,"COG1961 Site-specific recombinases, DNA invertase Pin homologs",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0002],Halobacteriota,Haloarculaceae,Integrase
CP119780.1,CP119780.1_123,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula [species 0007],Halobacteriota,Haloarculaceae,Integrase
CP119780.1,CP119780.1_186,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula [species 0007],Halobacteriota,Haloarculaceae,Integrase
CP119781.1,CP119781.1_37,lysis,COG1732 Periplasmic glycine betaine choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein),p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula [species 0007],Halobacteriota,Haloarculaceae,Osmolyte transport
CP119781.1,CP119781.1_83,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula [species 0007],Halobacteriota,Haloarculaceae,Integrase
CP119781.1,CP119781.1_202,lysis,COG1732 Periplasmic glycine betaine choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein),p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula [species 0007],Halobacteriota,Haloarculaceae,Osmolyte transport
CP119793.1,CP119793.1_4,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001],Halobacteriota,Unclassified,Integrase
CP119793.1,CP119793.1_30,lysis,Catalyzes hydrolysis of the D-alanyl-D-alanine dipeptide,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001],Halobacteriota,Unclassified,Metabolic enzymes
CP119793.1,CP119793.1_31,lysis,Catalyzes hydrolysis of the D-alanyl-D-alanine dipeptide,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001],Halobacteriota,Unclassified,Metabolic enzymes
CP119793.1,CP119793.1_38,lysis,Catalyzes hydrolysis of the D-alanyl-D-alanine dipeptide,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001],Halobacteriota,Unclassified,Metabolic enzymes
CP119793.1,CP119793.1_80,lysis,COG1253 Hemolysins and related proteins containing CBS domains,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001],Halobacteriota,Unclassified,Lysis & membrane
CP119793.1,CP119793.1_284,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001],Halobacteriota,Unclassified,Integrase
CP119803.1,CP119803.1_98,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halosegnis,s__Halosegnis [species 0023],Halobacteriota,Haloarculaceae,Integrase
