subtype	cluster_id	cluster_rep	prevalence	enriched_on_conjugative	odds_ratio	pval_fdr	frac_conj	frac_nonconj	n_conj_present	n_nonconj_present	known_conj_genes	prokka_product	eggnog_description	seq_len
ST4	cluster_01878	CP119793.1_00141	100.0%	True	24.29032258064516	0.005972246553926283	0.08823529411764706	0.003968253968253968	12	1		hypothetical protein		352
ST4	cluster_13910	NZ_CP084474.1_00037	100.0%	True	20.348837209302324	5.958031953335923e-16	0.36764705882352944	0.027777777777777776	50	7		hypothetical protein	COG2219 Eukaryotic-type DNA primase, large subunit	508
ST4	cluster_12644	NZ_CP082248.1_00297	70.0%	False								ATP-dependent zinc metalloprotease FtsH		334
ST4	cluster_13912	NZ_CP084474.1_00046	60.0%	False										
ST4	cluster_13911	NZ_CP084474.1_00045	60.0%	True	22.088	0.015510375355067099	0.08088235294117647	0.003968253968253968	11	1				
ST4	cluster_22628	NZ_MN918443.1_00058	60.0%	False										
ST4	cluster_19597	NZ_CP111040.1_00141	60.0%	True	22.088	0.015510375355067099	0.08088235294117647	0.003968253968253968	11	1		hypothetical protein		491
ST4	cluster_20592	NZ_CP119792.1_00046	50.0%	True	27.84	2.1282837440711457e-34	0.7058823529411765	0.07936507936507936	96	20				
ST5	cluster_01274	CP050016.1_00203	92.3%	True	inf	0.0008546096770955721	0.08823529411764706	0.0	12	0		hypothetical protein	-	690
ST5	cluster_01277	CP050016.1_00210	92.3%	True	inf	0.0008546096770955721	0.08823529411764706	0.0	12	0		hypothetical protein	-	154
ST5	cluster_01276	CP050016.1_00209	92.3%	True	inf	0.0008546096770955721	0.08823529411764706	0.0	12	0		hypothetical protein	-	127
ST5	cluster_06501	NZ_CP010533.1_00079	92.3%	True	inf	0.0008546096770955721	0.08823529411764706	0.0	12	0		hypothetical protein	-	558
ST5	cluster_13544	NZ_CP084467.1_00322	92.3%	True	8.266666666666667	0.00837158722126697	0.11764705882352941	0.015873015873015872	16	4		hypothetical protein	COG3843 Type IV secretory pathway, VirD2 components (relaxase)	171
ST5	cluster_15479	NZ_CP095006.1_00173	92.3%	True	31.115702479338843	0.0003749215210149844	0.11029411764705882	0.003968253968253968	15	1				
ST5	cluster_20817	NZ_CP119798.1_00082	84.6%	True	32.407407407407405	3.98874060414199e-09	0.20588235294117646	0.007936507936507936	28	2		hypothetical protein	-	150
ST5	cluster_05787	NC_023011.1_00078	69.2%	False								hypothetical protein	-	121
ST5	cluster_05789	NC_023011.1_00087	53.8%	False								hypothetical protein	-	282
