sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)	predicted_mobility_conjscan	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
CP031302.1	1	17189	0.6398859735877596	c945fe3c1a421dd8fd6ab5912e28a8e0	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031304.1	1	987326	0.6382623368573298	fbaec80023ddc1e7c0c2b39e668d9240	-	-	-	-	-	-	-	-	non-mobilizable	CP033323	0.263022	Azospirillum brasilense	AD931	AN625	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP040679.1	1	322915	0.6076366845764365	8a3ca0a1fd7f7073420932d361794348	-	-	-	-	-	-	-	-	non-mobilizable	CP016084	0.295981	Streptomyces sp. SAT1	AB903	AK876	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella pelagica
CP040680.1	1	316071	0.5822520889293861	145c701eeec27a710440f993e68a0e0d	-	-	-	-	MPF_T	NC_015955_00255	-	-	non-mobilizable	CP014516	0.295981	Frondihabitans sp. PAMC 28766	AF545	AP507	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella pelagica
CP040681.1	1	100265	0.6159876327731512	3d36f1864fb21393bffe51b4ab5e0adb	-	-	-	-	-	-	-	-	non-mobilizable	CP011771	0.295981	Croceicoccus naphthovorans	AB681	AK558	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella pelagica
CP046867.1	1	316107	0.5822332311527426	d7a7ba738c60f5be90229d82f6fd9381	-	-	-	-	MPF_T	NC_015955_00255	-	-	non-mobilizable	CP014516	0.295981	Frondihabitans sp. PAMC 28766	AF545	AP507	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Salinibaculum	s__Salinibaculum litoreum
CP046868.1	1	100260	0.6159385597446638	c92660608d5e5998fa6a1ae594910c03	-	-	-	-	-	-	-	-	non-mobilizable	CP011771	0.295981	Croceicoccus naphthovorans	AB681	AK558	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Salinibaculum	s__Salinibaculum litoreum
CP050015.1	1	535368	0.6199548721626993	6d0b4f57ac300170faa5584a5d159217	-	-	-	-	-	-	-	-	non-mobilizable	CP007745	0.295981	Burkholderia cepacia ATCC 25416	AF428	AP376	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050016.1	1	355823	0.5784420905899843	55fba65dbd189a0c07af5d766c16926e	-	-	-	-	-	-	-	-	non-mobilizable	CP014802	0.295981	Salipiger profundus	AC364	AL532	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050017.1	1	255392	0.5690546297456459	ff00e79615b83046ea443e0ec74087a9	-	-	-	-	-	-	-	-	non-mobilizable	CP000385	0.295981	Mycobacterium sp. MCS	AD515	AN095	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050018.1	1	133715	0.5975171072804099	fe50c0be1f67f45bc7d76ac19c86a0ff	-	-	-	-	-	-	-	-	non-mobilizable	CP022424	0.295981	Vitreoscilla filiformis	AC616	AL880	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050019.1	1	53962	0.5649716467143545	aae5229e810df517365ac00e8cf024d3	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP104004.1	1	249332	0.5972558676784367	4f03140ea544df469a1da23dabc3ab90	-	-	-	-	-	-	-	-	non-mobilizable	CP020907	0.295981	Rhizobium etli	AD575	AN175	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0022]
CP119561.1	1	363408	0.5883387267203803	d5bb0c9ac20616fd106795d4f79ba152	-	-	-	-	-	-	-	-	non-mobilizable	CP016458	0.295981	Blastomonas sp. RAC04	AA340	AI287	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0002]
CP119562.1	1	114495	0.5686361849862439	aab7af4419c48bab85cc9fbb896c9b16	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0002]
CP119780.1	1	284460	0.6535787105392674	0331cfa2b41d3c116a0eb38a0e68d9da	-	-	-	-	-	-	-	-	non-mobilizable	CP026928	0.295981	Agrobacterium tumefaciens	AB152	AJ761	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula [species 0007]
CP119781.1	1	200553	0.5936086720218595	3c37aa1e8be7108f83270ce5f119deb3	-	-	-	-	MPF_T	NC_002608_00127,NC_002608_00126	-	-	non-mobilizable	CP014802	0.295981	Salipiger profundus	AC364	AL532	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula [species 0007]
CP119793.1	1	330897	0.5505610507197104	2db7638f10c3f67b46b7e2d1e0d8add2	-	-	-	-	MPF_T	NC_013746_00233	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__	g__	s__[Genus] [species 0001]
CP119803.1	1	163478	0.592061317119123	f73fc90b27ea7577226e3c6cca087a88	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halosegnis	s__Halosegnis [species 0023]
CP119805.1	1	430223	0.6506579146163733	9c0861cc2d553858c393b52cc5dbc9dd	-	-	-	-	-	-	-	-	non-mobilizable	CP028042	0.295981	Nissabacter sp. SGAir0207	AG119	AQ138	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus [species 0012]
CP119807.1	1	102607	0.5915775726802265	50d842d6db198e0b95ed61449cd68289	-	-	-	-	-	-	-	-	non-mobilizable	AP021851	0.295981	Deinococcus grandis	AD770	AN425	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus [species 0012]
CP119808.1	1	131528	0.556193358068244	1b076622cf78cb87116ad18bddd8e1b8	-	-	-	-	MPF_T	NC_015955_00540,NC_015667_00008	-	-	non-mobilizable	CP013746	0.295981	Arthrobacter alpinus	AH064	AR120	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus [species 0012]
CP120469.1	1	429105	0.6236958320224654	e7b95d787678d7fb489da9e236cc6a83	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobaculum	s__Halobaculum [species 0020]
CP126163.1	1	258123	0.5599733460404536	3d763a9901df3e6e5d0b48e7643a78f6	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0003]
CP135527.1	1	76233	0.6006847428279092	ba8f2f2bdeb3dfa0fe5827c9f50f6637	-	-	-	-	-	-	-	-	non-mobilizable	KX388536	0.295981	Agrobacterium tumefaciens	AC943	AM323	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__KZCA124	s__KZCA124 sp017357405
KF527230.1	1	18345	0.5131098391932407	24292df828e04a0d397be53650cc8650	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus nautili
NC_000905.1	1	6205	0.4525382755842063	d4f313e5db64f2e389313e98da66d08a	rep_cluster_22	001489__NC_014409_00001	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
NC_001336.1	1	13514	0.41771496226135857	6a538275e52b43e750f62ca8ff33560d	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
NC_001337.1	1	11014	0.4250953332122753	c62e5d57c3785b34a804212544435103	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
NC_001375.1	1	6354	0.560434372049103	4a0e67625d7caee5c2c1c7c3c095bdc6	-	-	-	-	-	-	-	-	non-mobilizable	-	1	-	-	-	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_001732.1	1	58407	0.28191079530862084	d50931f0257ec99ae44df464ed052306	rep_cluster_1119,rep_cluster_88	000396__NC_001732_00058,002359__NC_001732_00046	-	-	-	-	-	-	non-mobilizable	KF640086	0.295981	Francisella tularensis subsp. novicida PA10-7858	AD615	AN227	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus jannaschii
NC_001733.1	1	16550	0.2888821752265861	3db305a4bd1b322d1cb1ccc3a14ca596	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus jannaschii
NC_001771.1	1	5350	0.37271028037383175	0031d603e9dd3e282173c07140f0347c	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_001773.1	1	3444	0.4343786295005807	db343c3fc042914fd577e26eaea11d49	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus abyssi
NC_001811.1	1	8285	0.2724200362100181	f062d906481a1a778da3b2d54e9164c2	rep_cluster_11	000355__NC_001811_00002	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus maripaludis_D
NC_001869.1	1	191346	0.5790870987634965	31ad5c7ba18d740d5412da766a42e388	-	-	-	-	-	-	-	-	non-mobilizable	LR134455	0.295981	Tsukamurella tyrosinosolvens	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_002097.1	1	5467	0.37534296689226265	9af7e643630fdb9ba98162aad2ffd123	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
NC_002101.1	1	6959	0.3736168989797385	76450d092b04b41a514e85dc0ef669b6	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_002121.1	1	1736	0.6411290322580645	4ebf6d5da9a448677913404a983cfd94	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_002125.1	1	4439	0.45415634151836	1e10fd81e93aa61f22d7767b6a23192b	rep_cluster_22	001489__NC_014409_00001	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
NC_002608.1	1	365425	0.5922419101046726	0fdee79e86e1de0758033c34a357d9f1	-	-	-	-	MPF_T	NC_002608_00127,NC_002608_00126	-	-	non-mobilizable	LR134455	0.295981	Tsukamurella tyrosinosolvens	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_004852.1	1	24554	0.37338111916592004	15ffd0599acc25839457023503e294d5	-	-	MOB_Unknown	CAG38222	MPF_T	NC_006422_00012	-	-	conjugative	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_004853.1	1	7830	0.3500638569604087	a6d4fc2d541795fd0a704a5d0e2113d1	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_005562.1	1	7598	0.37970518557515137	b492722c922202317e6aed780ec6e18b	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__Acidianus ambivalens
NC_005907.1	1	4967	0.44030601973021943	7be3974437d94bae635937300ac4b9aa	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
NC_006389.1	1	33303	0.5425337056721616	a04c49d8ee613540cbdd0098f16648f8	-	-	-	-	-	-	-	-	non-mobilizable	NC_019763	0.295981	Oscillatoria nigro-viridis PCC 7112	AG189	AQ210	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006390.1	1	33452	0.5562597154131292	a1415f2dd575ebf93e1d5e85b3dca2b6	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006391.1	1	39521	0.6001872422256522	c42bfda74ca0d5206f10a1213794c6cd	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006392.1	1	50060	0.5734918098282061	9cb42f46b0a6797ea4e491bf4975e2ca	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006393.1	1	132678	0.5448228040820633	0a54da500367d42c59cf3f45a0adacf8	-	-	-	-	MPF_T	NC_006393_00092	-	-	non-mobilizable	NC_019763	0.295981	Oscillatoria nigro-viridis PCC 7112	AG189	AQ210	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006394.1	1	155300	0.5833290405666453	d055700bd58d495a523dc3ac6e7505b8	-	-	-	-	-	-	-	-	non-mobilizable	CP023440	0.295981	Thauera sp. K11	AG105	AQ123	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006422.1	1	28930	0.37106809540269614	d26d3afde53c686ed0744c74bd230a34	-	-	MOB_Unknown	CAG38222	MPF_T	NC_006422_00012	-	-	conjugative	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006423.1	1	26200	0.36263358778625954	5e56d1c414d84480c8737302d0fbff5c	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006424.1	1	26476	0.3710152591025835	de4aea6af1f4399cb5800b1cf9f5f337	-	-	-	-	MPF_T	NC_006424_00012	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006425.1	1	35422	0.3732143865394388	d5711202853f7b8bf119b64fc2c77104	rep_cluster_1343	000661__NC_006425_00045	MOB_Unknown	CAG38222	MPF_T	NC_006425_00013	-	-	conjugative	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_007427.1	1	130989	0.5722159876020124	506933120354080681358ebadaf13899	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas pharaonis
NC_007428.1	1	23486	0.6059354509069232	7f1c0909326725c6b7f02130d219c583	-	-	-	-	-	-	-	-	non-mobilizable	NC_007801	0.295981	Jannaschia sp. CCS1	AE299	AO051	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas pharaonis
NC_008213.1	1	46867	0.47673202893293787	b7e95bff4017b597b6d89ad24f380127	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_008696.1	1	31504	0.5654202640934485	2cbca0d0d31a262afb12eda7c5025219	-	-	-	-	-	-	-	-	non-mobilizable	NC_011667	0.295981	Thauera sp. MZ1T	AF383	AP325	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei	o__Thermofilales	f__Thermofilaceae	g__Thermofilum_B	s__Thermofilum_B pendens
NC_009136.1	1	8285	0.2724200362100181	5c5af4f508fb2fcd474d2bf2c6bb62da	rep_cluster_11	000355__NC_001811_00002	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus maripaludis_D
NC_009658.1	1	3619	0.45813760707377726	53d1170a97ebfe4361a7e799b6ff24ef	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus nautili
