hit_id	replicon_name	position_hit	hit_sequence_length	gene_name	i_eval	score	profile_coverage	sequence_coverage	begin	end	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
CP040680.1_00166	CP040680.1	166	1034	T4SS_t4cp2	1.100e-15	51.900	0.689	0.146	317	467	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella pelagica
CP040680.1_00164	CP040680.1	164	1114	T4SS_virb4	6.300e-65	214.300	0.600	0.562	414	1039	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella pelagica
CP046867.1_00167	CP046867.1	167	1034	T4SS_t4cp2	1.200e-15	51.900	0.689	0.146	317	467	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Salinibaculum	s__Salinibaculum litoreum
CP046867.1_00169	CP046867.1	169	1114	T4SS_t4cp2	4.700e-07	23.700	0.586	0.115	840	967	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Salinibaculum	s__Salinibaculum litoreum
CP046867.1_00169	CP046867.1	169	1114	T4SS_virb4	6.600e-65	214.300	0.600	0.562	414	1039	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Salinibaculum	s__Salinibaculum litoreum
CP050016.1_00212	CP050016.1	212	852	T4SS_t4cp1	2.500e-04	16.500	0.855	0.093	210	288	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050016.1_00212	CP050016.1	212	852	T4SS_t4cp2	7.000e-26	85.500	0.847	0.217	360	544	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050016.1_00208	CP050016.1	208	1126	T4SS_virb4	3.400e-60	198.900	0.530	0.502	401	965	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050017.1_00122	CP050017.1	122	715	T4SS_t4cp1	3.800e-05	18.600	0.982	0.134	193	288	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050017.1_00122	CP050017.1	122	715	T4SS_t4cp2	2.900e-26	86.200	0.883	0.266	355	544	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050017.1_00118	CP050017.1	118	1126	T4SS_virb4	2.800e-58	192.100	0.577	0.577	398	1047	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP119561.1_00167	CP119561.1	167	844	T4SS_t4cp2	8.900e-26	85.100	0.932	0.238	344	544	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0002]
CP119561.1_00163	CP119561.1	163	1111	T4SS_virb4	4.400e-59	195.200	0.597	0.560	379	1000	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0002]
CP119562.1_00074	CP119562.1	74	852	T4SS_t4cp2	4.800e-26	84.500	0.932	0.236	344	544	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0002]
CP119562.1_00070	CP119562.1	70	1111	T4SS_virb4	1.300e-59	195.400	0.572	0.535	408	1001	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0002]
CP119781.1_00129	CP119781.1	129	1273	T4SS_t4cp2	1.400e-06	21.500	0.622	0.108	711	848	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula [species 0007]
CP119781.1_00128	CP119781.1	128	741	T4SS_virb4	3.300e-73	241.100	0.597	0.850	88	717	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula [species 0007]
CP119793.1_00143	CP119793.1	143	1401	T4SS_t4cp2	3.800e-07	23.900	0.613	0.106	668	815	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__	g__	s__[Genus] [species 0001]
CP119793.1_00142	CP119793.1	142	745	T4SS_virb4	5.500e-73	240.900	0.624	0.893	31	695	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__	g__	s__[Genus] [species 0001]
CP119808.1_00040	CP119808.1	40	735	T4SS_t4cp2	3.300e-06	19.200	0.626	0.182	490	623	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus [species 0012]
CP119808.1_00041	CP119808.1	41	1271	T4SS_t4cp2	5.600e-07	21.700	0.626	0.109	713	851	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus [species 0012]
CP119808.1_00040	CP119808.1	40	735	T4SS_virb4	5.300e-70	229.400	0.599	0.839	98	714	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus [species 0012]
CP126163.1_00085	CP126163.1	85	852	T4SS_t4cp2	3.300e-25	83.000	0.932	0.236	344	544	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0003]
CP126163.1_00081	CP126163.1	81	1125	T4SS_virb4	8.000e-59	194.100	0.565	0.523	428	1015	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0003]
NC_002608.1_00126	NC_002608.1	126	1272	T4SS_t4cp2	2.400e-06	21.600	0.622	0.108	712	849	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_002608.1_00127	NC_002608.1	127	744	T4SS_virb4	8.400e-73	240.600	0.625	0.875	91	741	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_004852.1_00007	NC_004852.1	7	1042	T4SS_t4cp2	3.800e-20	63.200	0.649	0.136	459	600	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_004852.1_00026	NC_004852.1	26	640	T4SS_virb4	5.300e-78	254.300	0.551	0.784	137	638	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006393.1_00088	NC_006393.1	88	1088	T4SS_t4cp2	1.500e-06	20.900	0.608	0.121	795	926	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006393.1_00092	NC_006393.1	92	738	T4SS_t4cp2	4.500e-23	75.000	0.914	0.267	346	542	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006393.1_00088	NC_006393.1	88	1088	T4SS_virb4	2.900e-59	194.500	0.707	0.734	178	976	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006394.1_00104	NC_006394.1	103	694	T4SS_t4cp2	1.400e-08	27.800	0.536	0.170	484	601	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006394.1_00105	NC_006394.1	104	1456	T4SS_t4cp2	2.500e-12	40.000	0.622	0.096	733	872	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006394.1_00104	NC_006394.1	103	694	T4SS_virb4	7.600e-80	262.800	0.563	0.856	68	661	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NC_006422.1_00012	NC_006422.1	12	1044	T4SS_t4cp2	1.700e-19	61.300	0.649	0.136	459	600	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006422.1_00001	NC_006422.1	1	648	T4SS_virb4	8.200e-77	250.600	0.551	0.775	145	646	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006423.1_00014	NC_006423.1	14	1020	T4SS_t4cp1	4.900e-06	18.800	0.555	0.061	303	364	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006423.1_00014	NC_006423.1	14	1020	T4SS_t4cp2	5.700e-17	53.100	0.599	0.126	469	597	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006423.1_00004	NC_006423.1	4	624	T4SS_virb4	6.000e-75	244.500	0.562	0.837	98	619	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006424.1_00012	NC_006424.1	12	1025	T4SS_t4cp2	4.700e-11	33.700	0.626	0.131	471	604	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006424.1_00004	NC_006424.1	4	624	T4SS_virb4	6.000e-71	231.200	0.551	0.816	111	619	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006425.1_00014	NC_006425.1	14	1092	T4SS_t4cp2	4.900e-19	60.200	0.649	0.130	459	600	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_006425.1_00001	NC_006425.1	1	622	T4SS_virb4	3.500e-79	258.900	0.551	0.807	119	620	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010597.1_00001	NC_010597.1	1	668	T4SS_t4cp2	1.300e-04	12.700	0.563	0.181	497	617	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010597.1_00011	NC_010597.1	11	1063	T4SS_t4cp2	3.800e-20	63.500	0.676	0.143	455	606	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010597.1_00001	NC_010597.1	1	668	T4SS_virb4	1.700e-57	186.700	0.538	0.789	124	650	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010598.1_00011	NC_010598.1	11	1094	T4SS_t4cp2	5.500e-19	59.700	0.653	0.131	458	600	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010598.1_00001	NC_010598.1	1	615	T4SS_virb4	3.000e-79	258.700	0.550	0.815	113	613	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_012624.1_00032	NC_012624.1	32	1014	T4SS_t4cp2	2.100e-16	51.700	0.599	0.127	471	599	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_012624.1_00053	NC_012624.1	53	624	T4SS_virb4	1.200e-72	237.300	0.551	0.816	111	619	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_013746.1_00232	NC_013746.1	231	1510	T4SS_t4cp2	1.900e-06	21.200	0.590	0.093	948	1088	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013746.1_00233	NC_013746.1	232	893	T4SS_virb4	7.500e-72	236.800	0.645	0.822	38	771	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013968.1_00035	NC_013968.1	35	1304	T4SS_t4cp1	5.700e-07	22.900	0.982	0.090	447	563	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_013968.1_00035	NC_013968.1	35	1304	T4SS_t4cp2	8.900e-09	27.400	0.653	0.107	625	764	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_013968.1_00034	NC_013968.1	34	984	T4SS_virb4	2.200e-55	180.900	0.542	0.617	332	938	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_014299.1_00035	NC_014299.1	35	440	T4SS_t4cp1	6.600e-13	44.200	0.991	0.234	76	178	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1_00211	NC_014299.1	211	367	T4SS_t4cp1	3.000e-11	38.900	0.991	0.286	156	260	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1_00251	NC_014299.1	251	367	T4SS_t4cp1	3.000e-11	38.900	0.991	0.286	156	260	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1_00419	NC_014299.1	419	998	T4SS_t4cp1	1.100e-06	24.200	0.982	0.122	111	232	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1_00035	NC_014299.1	35	440	T4SS_t4cp2	6.200e-27	89.000	0.941	0.445	232	427	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1_00212	NC_014299.1	212	168	T4SS_t4cp2	2.400e-21	70.800	0.649	0.875	18	164	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1_00252	NC_014299.1	252	168	T4SS_t4cp2	2.400e-21	70.800	0.649	0.875	18	164	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1_00419	NC_014299.1	419	998	T4SS_t4cp2	8.200e-12	39.600	0.689	0.161	313	473	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1_00417	NC_014299.1	417	1192	T4SS_virb4	5.200e-56	185.200	0.661	0.703	278	1115	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014300.1_00026	NC_014300.1	26	1247	T4SS_t4cp2	5.200e-14	43.700	0.635	0.118	619	765	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014300.1_00027	NC_014300.1	27	1030	T4SS_virb4	9.900e-42	134.800	0.556	0.597	388	1002	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_015667.1_00008	NC_015667.1	8	1268	T4SS_t4cp2	1.500e-06	21.400	0.613	0.107	713	848	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_015667.1_00007	NC_015667.1	7	740	T4SS_virb4	2.000e-72	238.500	0.563	0.814	95	696	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_019963.1_00055	NC_019963.1	55	1019	T4SS_t4cp2	4.600e-16	52.800	0.689	0.148	307	457	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_019963.1_00204	NC_019963.1	204	1013	T4SS_t4cp2	5.400e-15	49.300	0.658	0.142	312	455	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_019963.1_00206	NC_019963.1	206	1102	T4SS_t4cp2	1.700e-06	21.500	0.572	0.113	828	952	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_019963.1_00057	NC_019963.1	57	1085	T4SS_virb4	2.900e-66	218.400	0.611	0.588	386	1023	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_019963.1_00206	NC_019963.1	206	1102	T4SS_virb4	1.300e-66	219.600	0.620	0.595	402	1057	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_021914.1_00012	NC_021914.1	12	1029	T4SS_t4cp2	6.800e-14	42.800	0.667	0.155	467	625	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
NC_021914.1_00004	NC_021914.1	4	622	T4SS_virb4	3.300e-72	235.200	0.573	0.855	86	617	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
NC_023011.1_00081	NC_023011.1	81	705	T4SS_t4cp2	2.600e-22	72.300	0.914	0.279	313	509	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NC_023011.1_00085	NC_023011.1	85	1084	T4SS_t4cp2	1.500e-06	20.800	0.608	0.122	795	926	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NC_023011.1_00085	NC_023011.1	85	1084	T4SS_virb4	1.100e-59	195.700	0.742	0.780	131	975	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_AP017570.1_00096	NZ_AP017570.1	96	1274	T4SS_t4cp2	8.600e-07	21.500	0.622	0.108	712	849	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum trapanicum_A
NZ_AP017570.1_00097	NZ_AP017570.1	97	741	T4SS_virb4	5.200e-74	243.100	0.617	0.870	91	735	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum trapanicum_A
NZ_AP017571.1_00065	NZ_AP017571.1	65	1469	T4SS_t4cp2	3.900e-12	38.700	0.617	0.094	728	865	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum trapanicum_A
NZ_AP017571.1_00064	NZ_AP017571.1	64	735	T4SS_virb4	1.400e-71	234.800	0.560	0.799	98	684	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum trapanicum_A
NZ_CP008875.1_00053	NZ_CP008875.1	53	1271	T4SS_t4cp2	2.300e-06	20.000	0.613	0.107	713	848	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halanaeroarchaeum	s__Halanaeroarchaeum sulfurireducens
NZ_CP008875.1_00052	NZ_CP008875.1	52	744	T4SS_virb4	2.700e-71	234.000	0.582	0.833	85	704	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halanaeroarchaeum	s__Halanaeroarchaeum sulfurireducens
NZ_CP010532.1_00093	NZ_CP010532.1	93	738	T4SS_t4cp2	3.800e-23	74.900	0.914	0.267	346	542	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_CP010532.1_00097	NZ_CP010532.1	97	1084	T4SS_t4cp2	1.300e-06	20.900	0.608	0.122	795	926	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_CP010532.1_00097	NZ_CP010532.1	97	1084	T4SS_virb4	2.700e-58	191.000	0.702	0.732	183	976	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_CP010533.1_00080	NZ_CP010533.1	80	1083	T4SS_t4cp2	6.400e-07	21.800	0.644	0.131	794	935	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_CP010533.1_00084	NZ_CP010533.1	84	738	T4SS_t4cp2	4.800e-23	74.600	0.914	0.267	346	542	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_CP010533.1_00080	NZ_CP010533.1	80	1083	T4SS_virb4	2.000e-57	188.100	0.744	0.781	126	971	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NZ_CP011565.1_00052	NZ_CP011565.1	52	1271	T4SS_t4cp2	2.400e-06	20.000	0.613	0.107	713	848	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halanaeroarchaeum	s__Halanaeroarchaeum sulfurireducens
NZ_CP011565.1_00051	NZ_CP011565.1	51	744	T4SS_virb4	2.400e-71	234.100	0.582	0.839	85	708	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halanaeroarchaeum	s__Halanaeroarchaeum sulfurireducens
NZ_CP019068.1_00163	NZ_CP019068.1	163	1283	T4SS_t4cp2	9.400e-05	15.800	0.599	0.114	664	809	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis sp001989615
NZ_CP019068.1_00164	NZ_CP019068.1	164	748	T4SS_virb4	1.300e-70	232.800	0.638	0.909	18	697	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis sp001989615
NZ_CP019156.1_00074	NZ_CP019156.1	74	734	T4SS_t4cp2	3.300e-23	75.300	0.914	0.268	346	542	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula taiwanensis
NZ_CP019156.1_00078	NZ_CP019156.1	78	1085	T4SS_t4cp2	1.400e-06	20.900	0.608	0.122	795	926	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula taiwanensis
NZ_CP019156.1_00078	NZ_CP019156.1	78	1085	T4SS_virb4	3.400e-59	194.100	0.705	0.735	178	974	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula taiwanensis
