hit_id	replicon_name	position_hit	hit_sequence_length	gene_name	i_eval	score	profile_coverage	sequence_coverage	begin	end
CP119562.1_00070	CP119562.1	70	1111	T4SS_virb4	1.300e-59	195.400	0.572	0.535	408	1001
CP119781.1_00129	CP119781.1	129	1273	T4SS_t4cp2	1.400e-06	21.500	0.622	0.108	711	848
CP119781.1_00128	CP119781.1	128	741	T4SS_virb4	3.300e-73	241.100	0.597	0.850	88	717
CP119793.1_00143	CP119793.1	143	1401	T4SS_t4cp2	3.800e-07	23.900	0.613	0.106	668	815
CP119793.1_00142	CP119793.1	142	745	T4SS_virb4	5.500e-73	240.900	0.624	0.893	31	695
CP119808.1_00040	CP119808.1	40	735	T4SS_t4cp2	3.300e-06	19.200	0.626	0.182	490	623
CP119808.1_00041	CP119808.1	41	1271	T4SS_t4cp2	5.600e-07	21.700	0.626	0.109	713	851
CP119808.1_00040	CP119808.1	40	735	T4SS_virb4	5.300e-70	229.400	0.599	0.839	98	714
CP120469.1_00267	CP120469.1	267	1344	T4SS_t4cp2	3.800e-09	30.800	0.608	0.101	626	761
CP126163.1_00085	CP126163.1	85	852	T4SS_t4cp2	3.300e-25	83.000	0.932	0.236	344	544
CP126163.1_00081	CP126163.1	81	1125	T4SS_virb4	8.000e-59	194.100	0.565	0.523	428	1015
NC_002608.1_00126	NC_002608.1	126	1272	T4SS_t4cp2	2.400e-06	21.600	0.622	0.108	712	849
NC_002608.1_00127	NC_002608.1	127	744	T4SS_virb4	8.400e-73	240.600	0.625	0.875	91	741
NC_004852.1_00007	NC_004852.1	7	1042	T4SS_t4cp2	3.800e-20	63.200	0.649	0.136	459	600
NC_004852.1_00026	NC_004852.1	26	640	T4SS_virb4	5.300e-78	254.300	0.551	0.784	137	638
NC_006393.1_00088	NC_006393.1	88	1088	T4SS_t4cp2	1.500e-06	20.900	0.608	0.121	795	926
NC_006393.1_00092	NC_006393.1	92	738	T4SS_t4cp2	4.500e-23	75.000	0.914	0.267	346	542
NC_006393.1_00088	NC_006393.1	88	1088	T4SS_virb4	2.900e-59	194.500	0.707	0.734	178	976
NC_006394.1_00104	NC_006394.1	103	694	T4SS_t4cp2	1.400e-08	27.800	0.536	0.170	484	601
NC_006394.1_00105	NC_006394.1	104	1456	T4SS_t4cp2	2.500e-12	40.000	0.622	0.096	733	872
NC_006394.1_00104	NC_006394.1	103	694	T4SS_virb4	7.600e-80	262.800	0.563	0.856	68	661
NC_006422.1_00012	NC_006422.1	12	1044	T4SS_t4cp2	1.700e-19	61.300	0.649	0.136	459	600
NC_006422.1_00001	NC_006422.1	1	648	T4SS_virb4	8.200e-77	250.600	0.551	0.775	145	646
NC_006423.1_00014	NC_006423.1	14	1020	T4SS_t4cp1	4.900e-06	18.800	0.555	0.061	303	364
NC_006423.1_00014	NC_006423.1	14	1020	T4SS_t4cp2	5.700e-17	53.100	0.599	0.126	469	597
NC_006423.1_00004	NC_006423.1	4	624	T4SS_virb4	6.000e-75	244.500	0.562	0.837	98	619
NC_006424.1_00012	NC_006424.1	12	1025	T4SS_t4cp2	4.700e-11	33.700	0.626	0.131	471	604
NC_006424.1_00004	NC_006424.1	4	624	T4SS_virb4	6.000e-71	231.200	0.551	0.816	111	619
NC_006425.1_00014	NC_006425.1	14	1092	T4SS_t4cp2	4.900e-19	60.200	0.649	0.130	459	600
NC_006425.1_00001	NC_006425.1	1	622	T4SS_virb4	3.500e-79	258.900	0.551	0.807	119	620
NC_010369.1_00097	NC_010369.1	97	699	T4SS_t4cp2	1.800e-04	14.700	0.577	0.187	234	364
NC_010597.1_00001	NC_010597.1	1	668	T4SS_t4cp2	1.300e-04	12.700	0.563	0.181	497	617
NC_010597.1_00011	NC_010597.1	11	1063	T4SS_t4cp2	3.800e-20	63.500	0.676	0.143	455	606
NC_010597.1_00001	NC_010597.1	1	668	T4SS_virb4	1.700e-57	186.700	0.538	0.789	124	650
NC_010598.1_00011	NC_010598.1	11	1094	T4SS_t4cp2	5.500e-19	59.700	0.653	0.131	458	600
NC_010598.1_00001	NC_010598.1	1	615	T4SS_virb4	3.000e-79	258.700	0.550	0.815	113	613
NC_011299.1_00004	NC_011299.1	4	609	T4SS_virb4	7.900e-71	230.900	0.554	0.839	95	605
NC_012030.1_00379	NC_012030.1	379	1276	T4SS_t4cp1	6.700e-04	15.200	0.845	0.076	681	777
NC_012030.1_00379	NC_012030.1	379	1276	T4SS_t4cp2	7.000e-17	56.100	0.676	0.120	863	1015
NC_012624.1_00032	NC_012624.1	32	1014	T4SS_t4cp2	2.100e-16	51.700	0.599	0.127	471	599
NC_012624.1_00053	NC_012624.1	53	624	T4SS_virb4	1.200e-72	237.300	0.551	0.816	111	619
NC_013746.1_00232	NC_013746.1	231	1510	T4SS_t4cp2	1.900e-06	21.200	0.590	0.093	948	1088
NC_013746.1_00233	NC_013746.1	232	893	T4SS_virb4	7.500e-72	236.800	0.645	0.822	38	771
NC_013770.1_00028	NC_013770.1	28	593	T4SS_virb4	7.200e-73	237.600	0.554	0.862	79	589
NC_013968.1_00035	NC_013968.1	35	1304	T4SS_t4cp1	5.700e-07	22.900	0.982	0.090	447	563
NC_013968.1_00035	NC_013968.1	35	1304	T4SS_t4cp2	8.900e-09	27.400	0.653	0.107	625	764
NC_013968.1_00034	NC_013968.1	34	984	T4SS_virb4	2.200e-55	180.900	0.542	0.617	332	938
NC_014299.1_00035	NC_014299.1	35	440	T4SS_t4cp1	6.600e-13	44.200	0.991	0.234	76	178
NC_014299.1_00211	NC_014299.1	211	367	T4SS_t4cp1	3.000e-11	38.900	0.991	0.286	156	260
NC_014299.1_00251	NC_014299.1	251	367	T4SS_t4cp1	3.000e-11	38.900	0.991	0.286	156	260
NC_014299.1_00419	NC_014299.1	419	998	T4SS_t4cp1	1.100e-06	24.200	0.982	0.122	111	232
NC_014299.1_00035	NC_014299.1	35	440	T4SS_t4cp2	6.200e-27	89.000	0.941	0.445	232	427
NC_014299.1_00212	NC_014299.1	212	168	T4SS_t4cp2	2.400e-21	70.800	0.649	0.875	18	164
NC_014299.1_00252	NC_014299.1	252	168	T4SS_t4cp2	2.400e-21	70.800	0.649	0.875	18	164
NC_014299.1_00419	NC_014299.1	419	998	T4SS_t4cp2	8.200e-12	39.600	0.689	0.161	313	473
NC_014299.1_00417	NC_014299.1	417	1192	T4SS_virb4	5.200e-56	185.200	0.661	0.703	278	1115
NC_014300.1_00026	NC_014300.1	26	1247	T4SS_t4cp2	5.200e-14	43.700	0.635	0.118	619	765
NC_014300.1_00027	NC_014300.1	27	1030	T4SS_virb4	9.900e-42	134.800	0.556	0.597	388	1002
NC_014301.1_00029	NC_014301.1	29	440	T4SS_t4cp1	8.600e-14	44.200	0.991	0.234	76	178
NC_014301.1_00029	NC_014301.1	29	440	T4SS_t4cp2	8.100e-28	89.000	0.941	0.445	232	427
NC_015667.1_00008	NC_015667.1	8	1268	T4SS_t4cp2	1.500e-06	21.400	0.613	0.107	713	848
NC_015667.1_00007	NC_015667.1	7	740	T4SS_virb4	2.000e-72	238.500	0.563	0.814	95	696
NC_018225.1_00001	NC_018225.1	1	1274	T4SS_t4cp2	4.600e-07	21.500	0.622	0.108	712	849
NC_019963.1_00055	NC_019963.1	55	1019	T4SS_t4cp2	4.600e-16	52.800	0.689	0.148	307	457
NC_019963.1_00204	NC_019963.1	204	1013	T4SS_t4cp2	5.400e-15	49.300	0.658	0.142	312	455
NC_019963.1_00206	NC_019963.1	206	1102	T4SS_t4cp2	1.700e-06	21.500	0.572	0.113	828	952
NC_019963.1_00057	NC_019963.1	57	1085	T4SS_virb4	2.900e-66	218.400	0.611	0.588	386	1023
NC_019963.1_00206	NC_019963.1	206	1102	T4SS_virb4	1.300e-66	219.600	0.620	0.595	402	1057
NC_019967.1_00034	NC_019967.1	34	1028	T4SS_t4cp2	1.400e-15	51.600	0.689	0.147	316	466
NC_019967.1_00221	NC_019967.1	221	1009	T4SS_t4cp2	3.100e-15	50.400	0.644	0.140	299	439
NC_019967.1_00223	NC_019967.1	223	339	T4SS_t4cp2	9.900e-07	22.600	0.541	0.354	65	184
NC_021914.1_00012	NC_021914.1	12	1029	T4SS_t4cp2	6.800e-14	42.800	0.667	0.155	467	625
NC_021914.1_00004	NC_021914.1	4	622	T4SS_virb4	3.300e-72	235.200	0.573	0.855	86	617
NC_023011.1_00081	NC_023011.1	81	705	T4SS_t4cp2	2.600e-22	72.300	0.914	0.279	313	509
NC_023011.1_00085	NC_023011.1	85	1084	T4SS_t4cp2	1.500e-06	20.800	0.608	0.122	795	926
NC_023011.1_00085	NC_023011.1	85	1084	T4SS_virb4	1.100e-59	195.700	0.742	0.780	131	975
NZ_AP017570.1_00096	NZ_AP017570.1	96	1274	T4SS_t4cp2	8.600e-07	21.500	0.622	0.108	712	849
NZ_AP017570.1_00097	NZ_AP017570.1	97	741	T4SS_virb4	5.200e-74	243.100	0.617	0.870	91	735
NZ_AP017571.1_00065	NZ_AP017571.1	65	1469	T4SS_t4cp2	3.900e-12	38.700	0.617	0.094	728	865
NZ_AP017571.1_00064	NZ_AP017571.1	64	735	T4SS_virb4	1.400e-71	234.800	0.560	0.799	98	684
NZ_CP008875.1_00053	NZ_CP008875.1	53	1271	T4SS_t4cp2	2.300e-06	20.000	0.613	0.107	713	848
NZ_CP008875.1_00052	NZ_CP008875.1	52	744	T4SS_virb4	2.700e-71	234.000	0.582	0.833	85	704
NZ_CP010531.1_00088	NZ_CP010531.1	88	793	T4SS_virb4	9.100e-57	185.700	0.576	0.791	75	701
NZ_CP010532.1_00093	NZ_CP010532.1	93	738	T4SS_t4cp2	3.800e-23	74.900	0.914	0.267	346	542
NZ_CP010532.1_00097	NZ_CP010532.1	97	1084	T4SS_t4cp2	1.300e-06	20.900	0.608	0.122	795	926
NZ_CP010532.1_00097	NZ_CP010532.1	97	1084	T4SS_virb4	2.700e-58	191.000	0.702	0.732	183	976
NZ_CP010533.1_00080	NZ_CP010533.1	80	1083	T4SS_t4cp2	6.400e-07	21.800	0.644	0.131	794	935
NZ_CP010533.1_00084	NZ_CP010533.1	84	738	T4SS_t4cp2	4.800e-23	74.600	0.914	0.267	346	542
NZ_CP010533.1_00080	NZ_CP010533.1	80	1083	T4SS_virb4	2.000e-57	188.100	0.744	0.781	126	971
NZ_CP011565.1_00052	NZ_CP011565.1	52	1271	T4SS_t4cp2	2.400e-06	20.000	0.613	0.107	713	848
NZ_CP011565.1_00051	NZ_CP011565.1	51	744	T4SS_virb4	2.400e-71	234.100	0.582	0.839	85	708
NZ_CP019068.1_00163	NZ_CP019068.1	163	1283	T4SS_t4cp2	9.400e-05	15.800	0.599	0.114	664	809
NZ_CP019068.1_00164	NZ_CP019068.1	164	748	T4SS_virb4	1.300e-70	232.800	0.638	0.909	18	697
NZ_CP019156.1_00074	NZ_CP019156.1	74	734	T4SS_t4cp2	3.300e-23	75.300	0.914	0.268	346	542
NZ_CP019156.1_00078	NZ_CP019156.1	78	1085	T4SS_t4cp2	1.400e-06	20.900	0.608	0.122	795	926
NZ_CP019156.1_00078	NZ_CP019156.1	78	1085	T4SS_virb4	3.400e-59	194.100	0.705	0.735	178	974
NZ_CP019286.1_00144	NZ_CP019286.1	144	1274	T4SS_t4cp2	1.000e-06	21.700	0.622	0.108	712	849
NZ_CP019286.1_00143	NZ_CP019286.1	143	741	T4SS_virb4	9.800e-73	239.400	0.572	0.825	95	705
NZ_CP024045.1_00032	NZ_CP024045.1	32	1449	T4SS_t4cp2	2.200e-13	42.500	0.595	0.094	722	857
NZ_CP024045.1_00031	NZ_CP024045.1	31	728	T4SS_virb4	9.000e-69	225.200	0.539	0.772	95	656
NZ_CP026311.1_00001	NZ_CP026311.1	1	687	T4SS_virb4	3.400e-56	184.800	0.561	0.884	6	612
NZ_CP026312.1_00012	NZ_CP026312.1	12	1439	T4SS_t4cp2	1.600e-11	37.000	0.617	0.096	719	856
NZ_CP026312.1_00013	NZ_CP026312.1	13	735	T4SS_t4cp2	1.800e-04	14.000	0.536	0.151	504	614
NZ_CP026312.1_00013	NZ_CP026312.1	13	735	T4SS_virb4	3.000e-68	224.000	0.601	0.842	98	716
NZ_CP026313.1_00066	NZ_CP026313.1	66	1289	T4SS_t4cp2	1.500e-06	20.700	0.613	0.106	729	864
NZ_CP026313.1_00067	NZ_CP026313.1	67	741	T4SS_t4cp2	2.800e-05	16.500	0.541	0.151	504	615
NZ_CP026313.1_00067	NZ_CP026313.1	67	741	T4SS_virb4	3.100e-70	230.500	0.590	0.821	98	705
NZ_CP031147.1_00166	NZ_CP031147.1	166	791	T4SS_virb4	1.900e-56	185.500	0.580	0.800	74	706
NZ_CP031149.1_00062	NZ_CP031149.1	62	774	T4SS_virb4	2.600e-58	191.300	0.606	0.855	66	727
NZ_CP031151.1_00033	NZ_CP031151.1	33	795	T4SS_virb4	6.000e-57	186.200	0.579	0.795	73	704
NZ_CP031308.1_00110	NZ_CP031308.1	110	1221	T4SS_t4cp2	8.000e-07	21.600	0.608	0.111	663	797
NZ_CP031308.1_00109	NZ_CP031308.1	109	712	T4SS_virb4	3.400e-72	237.000	0.559	0.816	83	663
NZ_CP031314.1_00141	NZ_CP031314.1	141	695	T4SS_t4cp2	1.600e-08	27.800	0.536	0.170	485	602
NZ_CP031314.1_00142	NZ_CP031314.1	142	1442	T4SS_t4cp2	2.900e-12	40.000	0.622	0.097	721	860
NZ_CP031314.1_00141	NZ_CP031314.1	141	695	T4SS_virb4	1.000e-79	262.600	0.569	0.863	69	668
NZ_CP034344.1_00018	NZ_CP034344.1	18	1469	T4SS_t4cp2	8.600e-12	38.700	0.617	0.094	728	865
NZ_CP034344.1_00142	NZ_CP034344.1	142	695	T4SS_t4cp2	1.900e-08	27.800	0.536	0.170	485	602
NZ_CP034344.1_00143	NZ_CP034344.1	143	1453	T4SS_t4cp2	3.600e-12	40.000	0.622	0.096	732	871
NZ_CP034344.1_00017	NZ_CP034344.1	17	735	T4SS_virb4	4.100e-70	231.100	0.571	0.830	98	707
NZ_CP034344.1_00142	NZ_CP034344.1	142	695	T4SS_virb4	7.100e-80	263.400	0.569	0.863	69	668
NZ_CP034941.1_00193	NZ_CP034941.1	193	2441	T4SS_t4cp2	1.300e-10	36.100	0.622	0.056	45	181
NZ_CP035121.1_00003	NZ_CP035121.1	3	1271	T4SS_t4cp2	5.300e-07	21.800	0.626	0.109	713	851
NZ_CP035121.1_00004	NZ_CP035121.1	4	735	T4SS_t4cp2	3.200e-06	19.200	0.626	0.182	490	623
NZ_CP035121.1_00004	NZ_CP035121.1	4	735	T4SS_virb4	7.600e-70	228.800	0.567	0.826	99	705
NZ_CP039134.1_00112	NZ_CP039134.1	111	694	T4SS_t4cp2	1.400e-08	27.800	0.536	0.170	484	601
NZ_CP039134.1_00113	NZ_CP039134.1	112	1456	T4SS_t4cp2	2.600e-12	40.000	0.622	0.096	733	872
NZ_CP039134.1_00112	NZ_CP039134.1	111	694	T4SS_virb4	7.800e-80	262.800	0.563	0.856	68	661
NZ_CP039135.1_00102	NZ_CP039135.1	102	738	T4SS_t4cp2	4.500e-23	75.000	0.914	0.267	346	542
NZ_CP039135.1_00106	NZ_CP039135.1	106	1088	T4SS_t4cp2	1.500e-06	20.900	0.608	0.121	795	926
NZ_CP039135.1_00106	NZ_CP039135.1	106	1088	T4SS_virb4	2.900e-59	194.500	0.707	0.734	178	976
NZ_CP040331.1_00390	NZ_CP040331.1	376	1102	T4SS_t4cp2	2.600e-06	21.900	0.577	0.114	827	952
NZ_CP040331.1_00392	NZ_CP040331.1	378	1027	T4SS_t4cp2	1.100e-14	49.300	0.658	0.140	326	469
NZ_CP040331.1_00530	NZ_CP040331.1	514	1030	T4SS_t4cp2	1.100e-14	49.300	0.658	0.140	318	461
NZ_CP040331.1_00390	NZ_CP040331.1	376	1102	T4SS_virb4	7.100e-69	228.100	0.621	0.595	396	1051
NZ_CP040331.1_00528	NZ_CP040331.1	512	1102	T4SS_virb4	7.100e-67	221.500	0.622	0.596	395	1051
NZ_CP045489.1_00360	NZ_CP045489.1	360	1014	T4SS_t4cp2	2.800e-15	51.000	0.667	0.144	300	445
NZ_CP045489.1_00362	NZ_CP045489.1	362	1100	T4SS_virb4	8.300e-70	230.900	0.622	0.589	389	1036
NZ_CP053942.1_00249	NZ_CP053942.1	249	2407	T4SS_t4cp2	5.300e-11	36.200	0.626	0.057	901	1038
NZ_CP053943.1_00063	NZ_CP053943.1	63	1274	T4SS_t4cp2	8.700e-07	21.700	0.626	0.109	711	849
NZ_CP053943.1_00064	NZ_CP053943.1	64	741	T4SS_virb4	6.100e-72	236.500	0.604	0.850	98	727
NZ_CP054586.1_00057	NZ_CP054586.1	57	1469	T4SS_t4cp2	1.400e-11	38.700	0.617	0.094	728	865
NZ_CP054586.1_00196	NZ_CP054586.1	196	694	T4SS_t4cp2	3.200e-08	27.800	0.536	0.170	484	601
NZ_CP054586.1_00197	NZ_CP054586.1	197	1454	T4SS_t4cp2	7.600e-12	39.600	0.626	0.097	732	872
NZ_CP054586.1_00058	NZ_CP054586.1	58	735	T4SS_virb4	6.100e-71	234.500	0.568	0.801	98	686
NZ_CP054586.1_00196	NZ_CP054586.1	196	694	T4SS_virb4	5.900e-79	261.000	0.563	0.856	68	661
NZ_CP054589.1_00037	NZ_CP054589.1	37	1440	T4SS_t4cp2	1.500e-11	38.100	0.617	0.096	728	865
NZ_CP054589.1_00154	NZ_CP054589.1	154	1274	T4SS_t4cp2	1.800e-06	21.500	0.622	0.108	712	849
NZ_CP054589.1_00036	NZ_CP054589.1	36	735	T4SS_virb4	3.600e-71	234.700	0.572	0.831	98	708
NZ_CP054589.1_00153	NZ_CP054589.1	153	741	T4SS_virb4	2.200e-73	242.100	0.619	0.873	91	737
NZ_CP054708.1_00398	NZ_CP054708.1	398	1167	T4SS_t4cp2	5.100e-04	14.400	0.536	0.105	599	720
NZ_CP054708.1_00411	NZ_CP054708.1	411	657	T4SS_virb4	5.500e-64	211.900	0.562	0.900	44	634
NZ_CP054709.1_00276	NZ_CP054709.1	274	1409	T4SS_t4cp2	1.900e-11	38.300	0.653	0.106	685	834
NZ_CP054709.1_00277	NZ_CP054709.1	275	729	T4SS_t4cp2	1.200e-05	19.300	0.550	0.159	507	622
NZ_CP054709.1_00325	NZ_CP054709.1	323	736	T4SS_t4cp2	5.200e-05	17.200	0.550	0.158	507	622
NZ_CP054709.1_00326	NZ_CP054709.1	324	1428	T4SS_t4cp2	6.100e-13	43.200	0.613	0.095	717	852
NZ_CP054709.1_00277	NZ_CP054709.1	275	729	T4SS_virb4	1.100e-68	227.000	0.600	0.853	99	720
NZ_CP054709.1_00325	NZ_CP054709.1	323	736	T4SS_virb4	7.400e-67	220.900	0.602	0.848	99	722
NZ_CP054710.1_00042	NZ_CP054710.1	42	773	T4SS_virb4	9.400e-59	192.400	0.578	0.806	72	694
NZ_CP058531.1_00024	NZ_CP058531.1	24	1501	T4SS_t4cp2	4.700e-12	39.400	0.622	0.093	740	878
NZ_CP058531.1_00025	NZ_CP058531.1	25	651	T4SS_virb4	3.100e-69	228.000	0.532	0.869	37	602
NZ_CP063206.1_00148	NZ_CP063206.1	148	733	T4SS_t4cp2	1.300e-05	19.700	0.550	0.156	503	616
NZ_CP063206.1_00149	NZ_CP063206.1	149	1393	T4SS_t4cp2	2.000e-11	38.700	0.613	0.101	673	812
NZ_CP063206.1_00291	NZ_CP063206.1	290	734	T4SS_t4cp2	8.200e-05	17.100	0.554	0.157	502	616
NZ_CP063206.1_00292	NZ_CP063206.1	291	1283	T4SS_t4cp2	1.600e-06	22.600	0.608	0.105	724	858
NZ_CP063206.1_00148	NZ_CP063206.1	148	733	T4SS_virb4	3.600e-68	225.800	0.580	0.819	98	697
NZ_CP063206.1_00291	NZ_CP063206.1	290	734	T4SS_virb4	5.900e-68	225.100	0.563	0.796	98	681
NZ_CP063208.1_00059	NZ_CP063208.1	59	1304	T4SS_t4cp1	4.200e-07	22.900	0.982	0.090	447	563
NZ_CP063208.1_00059	NZ_CP063208.1	59	1304	T4SS_t4cp2	6.600e-09	27.400	0.653	0.107	625	764
NZ_CP063208.1_00058	NZ_CP063208.1	58	984	T4SS_virb4	1.600e-53	174.300	0.585	0.659	309	956
NZ_CP064790.1_00094	NZ_CP064790.1	94	1276	T4SS_t4cp2	4.700e-07	22.500	0.608	0.106	717	851
NZ_CP064790.1_00095	NZ_CP064790.1	95	735	T4SS_t4cp2	2.100e-05	17.100	0.514	0.162	497	615
NZ_CP064790.1_00095	NZ_CP064790.1	95	735	T4SS_virb4	1.200e-68	225.500	0.587	0.830	97	706
NZ_CP069189.1_00006	NZ_CP069189.1	6	1099	T4SS_t4cp2	3.700e-07	22.800	0.649	0.130	810	952
NZ_CP069189.1_00008	NZ_CP069189.1	8	1036	T4SS_t4cp2	7.800e-16	51.200	0.640	0.135	329	468
NZ_CP069189.1_00006	NZ_CP069189.1	6	1099	T4SS_virb4	1.700e-69	228.200	0.641	0.612	391	1063
NZ_CP069193.1_00037	NZ_CP069193.1	37	1273	T4SS_t4cp2	7.200e-07	21.100	0.622	0.108	711	848
NZ_CP069193.1_00038	NZ_CP069193.1	38	741	T4SS_virb4	1.300e-73	241.100	0.598	0.850	89	718
NZ_CP070334.1_00002	NZ_CP070334.1	2	1274	T4SS_t4cp2	6.500e-07	21.500	0.622	0.108	712	849
NZ_CP070334.1_00003	NZ_CP070334.1	3	741	T4SS_virb4	9.900e-72	235.100	0.584	0.825	98	708
NZ_CP070335.2_00318	NZ_CP070335.2	317	1272	T4SS_t4cp2	2.000e-06	21.600	0.622	0.108	712	849
NZ_CP070335.2_00319	NZ_CP070335.2	318	744	T4SS_virb4	6.800e-73	240.600	0.625	0.875	91	741
NZ_CP070375.1_00002	NZ_CP070375.1	2	1272	T4SS_t4cp2	1.700e-06	21.600	0.622	0.108	712	849
NZ_CP070375.1_00003	NZ_CP070375.1	3	741	T4SS_virb4	6.000e-73	240.700	0.625	0.879	88	738
NZ_CP073367.1_00049	NZ_CP073367.1	49	1716	T4SS_t4cp2	8.800e-06	18.000	0.554	0.074	895	1021
NZ_CP073368.1_00499	NZ_CP073368.1	497	1366	T4SS_t4cp2	4.100e-05	18.100	0.554	0.093	541	667
NZ_CP073370.1_00026	NZ_CP073370.1	26	588	T4SS_t4cp1	1.200e-09	31.000	0.991	0.167	195	292
NZ_CP073370.1_00026	NZ_CP073370.1	26	588	T4SS_t4cp2	6.300e-37	119.000	0.869	0.323	361	550
NZ_CP073372.1_00056	NZ_CP073372.1	55	741	T4SS_t4cp2	5.400e-23	74.600	0.914	0.266	349	545
NZ_CP073372.1_00060	NZ_CP073372.1	59	1084	T4SS_t4cp2	1.400e-06	20.900	0.608	0.122	795	926
NZ_CP073372.1_00060	NZ_CP073372.1	59	1084	T4SS_virb4	1.700e-59	195.100	0.744	0.781	129	975
NZ_CP077714.1_00027	NZ_CP077714.1	27	1035	T4SS_t4cp2	1.400e-20	65.500	0.689	0.150	441	595
NZ_CP077714.1_00039	NZ_CP077714.1	39	628	T4SS_t4cp2	3.800e-06	18.300	0.545	0.182	465	578
NZ_CP077714.1_00039	NZ_CP077714.1	39	628	T4SS_virb4	2.100e-55	180.400	0.543	0.822	105	620
NZ_CP077716.1_00024	NZ_CP077716.1	24	1032	T4SS_t4cp2	4.600e-19	60.400	0.676	0.147	451	602
NZ_CP077716.1_00035	NZ_CP077716.1	35	671	T4SS_t4cp2	5.100e-06	17.800	0.572	0.183	499	621
NZ_CP077716.1_00035	NZ_CP077716.1	35	671	T4SS_virb4	1.700e-54	177.300	0.511	0.741	143	639
NZ_CP082247.1_00611	NZ_CP082247.1	607	1034	T4SS_t4cp2	1.700e-14	49.500	0.671	0.142	332	478
NZ_CP082248.1_00886	NZ_CP082248.1	881	854	T4SS_t4cp1	4.200e-04	17.100	0.991	0.131	129	240
NZ_CP082248.1_00886	NZ_CP082248.1	881	854	T4SS_t4cp2	1.100e-15	53.500	0.671	0.172	302	448
