protein_id	plasmid	cluster_id	cluster_rep
NC_015667.1|NC_015667.1_00001	NC_015667.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_018225.1|NC_018225.1_00068	NC_018225.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_AP017570.1|NZ_AP017570.1_00103	NZ_AP017570.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP008875.1|NZ_CP008875.1_00046	NZ_CP008875.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP011565.1|NZ_CP011565.1_00045	NZ_CP011565.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP019286.1|NZ_CP019286.1_00137	NZ_CP019286.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP034344.1|NZ_CP034344.1_00011	NZ_CP034344.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP054589.1|NZ_CP054589.1_00030	NZ_CP054589.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP054589.1|NZ_CP054589.1_00147	NZ_CP054589.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP069193.1|NZ_CP069193.1_00044	NZ_CP069193.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP070334.1|NZ_CP070334.1_00009	NZ_CP070334.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP070335.2|NZ_CP070335.2_00325	NZ_CP070335.2	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP082287.1|NZ_CP082287.1_00017	NZ_CP082287.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP084468.1|NZ_CP084468.1_00061	NZ_CP084468.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP084470.1|NZ_CP084470.1_00163	NZ_CP084470.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP084471.1|NZ_CP084471.1_00054	NZ_CP084471.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP089469.1|NZ_CP089469.1_00313	NZ_CP089469.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP095399.1|NZ_CP095399.1_00096	NZ_CP095399.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP095485.1|NZ_CP095485.1_00023	NZ_CP095485.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP098517.1|NZ_CP098517.1_00009	NZ_CP098517.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP098519.1|NZ_CP098519.1_00019	NZ_CP098519.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP126160.1|NZ_CP126160.1_00009	NZ_CP126160.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP126160.1|NZ_CP126160.1_00102	NZ_CP126160.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_LN831304.1|NZ_LN831304.1_00022	NZ_LN831304.1	cluster_00078	CP002989.1|CP002989.1_00250
CP007061.1|CP007061.1_00175	CP007061.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP024045.1|NZ_CP024045.1_00025	NZ_CP024045.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP083669.1|NZ_CP083669.1_00009	NZ_CP083669.1	cluster_00078	CP002989.1|CP002989.1_00250
CP002989.1|CP002989.1_00546	CP002989.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_AP017571.1|NZ_AP017571.1_00058	NZ_AP017571.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP026312.1|NZ_CP026312.1_00019	NZ_CP026312.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP053943.1|NZ_CP053943.1_00070	NZ_CP053943.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP054586.1|NZ_CP054586.1_00064	NZ_CP054586.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP085325.1|NZ_CP085325.1_00063	NZ_CP085325.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP089595.1|NZ_CP089595.1_00053	NZ_CP089595.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP090373.1|NZ_CP090373.1_00154	NZ_CP090373.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP095484.1|NZ_CP095484.1_00055	NZ_CP095484.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP101324.1|NZ_CP101324.1_00036	NZ_CP101324.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_MN918441.1|NZ_MN918441.1_00048	NZ_MN918441.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_QJOW01000006.1|NZ_QJOW01000006.1_00055	NZ_QJOW01000006.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP128378.1|NZ_CP128378.1_00164	NZ_CP128378.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP070375.1|NZ_CP070375.1_00009	NZ_CP070375.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP084473.1|NZ_CP084473.1_00350	NZ_CP084473.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP119798.1|NZ_CP119798.1_00081	NZ_CP119798.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP084474.1|NZ_CP084474.1_00353	NZ_CP084474.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP135524.1|NZ_CP135524.1_00036	NZ_CP135524.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP135525.1|NZ_CP135525.1_00054	NZ_CP135525.1	cluster_00078	CP002989.1|CP002989.1_00250
CP002989.1|CP002989.1_00263	CP002989.1	cluster_00079	CP002989.1|CP002989.1_00263
CP119781.1|CP119781.1_00137	CP119781.1	cluster_00079	CP002989.1|CP002989.1_00263
CP119793.1|CP119793.1_00153	CP119793.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_AP017570.1|NZ_AP017570.1_00086	NZ_AP017570.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP082287.1|NZ_CP082287.1_00032	NZ_CP082287.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP100450.1|NZ_CP100450.1_00017	NZ_CP100450.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP106970.1|NZ_CP106970.1_00045	NZ_CP106970.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP119784.1|NZ_CP119784.1_00128	NZ_CP119784.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP120471.1|NZ_CP120471.1_00086	NZ_CP120471.1	cluster_00079	CP002989.1|CP002989.1_00263
NC_012030.1|NC_012030.1_00406	NC_012030.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP095398.1|NZ_CP095398.1_00713	NZ_CP095398.1	cluster_00079	CP002989.1|CP002989.1_00263
CP046867.1|CP046867.1_00321	CP046867.1	cluster_00079	CP002989.1|CP002989.1_00263
CP040680.1|CP040680.1_00018	CP040680.1	cluster_00079	CP002989.1|CP002989.1_00263
NC_012030.1|NC_012030.1_00125	NC_012030.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP058530.1|NZ_CP058530.1_00147	NZ_CP058530.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP095398.1|NZ_CP095398.1_00043	NZ_CP095398.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP098520.1|NZ_CP098520.1_00026	NZ_CP098520.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP098520.1|NZ_CP098520.1_00028	NZ_CP098520.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP034941.1|NZ_CP034941.1_00327	NZ_CP034941.1	cluster_00079	CP002989.1|CP002989.1_00263
CP002989.1|CP002989.1_00318	CP002989.1	cluster_00079	CP002989.1|CP002989.1_00263
CP050016.1|CP050016.1_00077	CP050016.1	cluster_00079	CP002989.1|CP002989.1_00263
NC_014736.1|NC_014736.1_00047	NC_014736.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP031147.1|NZ_CP031147.1_00072	NZ_CP031147.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP038633.1|NZ_CP038633.1_00067	NZ_CP038633.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP054586.1|NZ_CP054586.1_00353	NZ_CP054586.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP054590.1|NZ_CP054590.1_00038	NZ_CP054590.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP058580.1|NZ_CP058580.1_00134	NZ_CP058580.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP070335.2|NZ_CP070335.2_00227	NZ_CP070335.2	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP070375.1|NZ_CP070375.1_00205	NZ_CP070375.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP128378.1|NZ_CP128378.1_00060	NZ_CP128378.1	cluster_00079	CP002989.1|CP002989.1_00263
NC_006390.1|NC_006390.1_00007	NC_006390.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP039132.1|NZ_CP039132.1_00011	NZ_CP039132.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP073371.1|NZ_CP073371.1_00104	NZ_CP073371.1	cluster_00079	CP002989.1|CP002989.1_00263
NC_015944.1|NC_015944.1_00318	NC_015944.1	cluster_00079	CP002989.1|CP002989.1_00263
NC_013966.1|NC_013966.1_00142	NC_013966.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP054588.1|NZ_CP054588.1_00214	NZ_CP054588.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP063206.1|NZ_CP063206.1_00355	NZ_CP063206.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP078064.1|NZ_CP078064.1_00298	NZ_CP078064.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP007554.1|NZ_CP007554.1_00134	NZ_CP007554.1	cluster_00079	CP002989.1|CP002989.1_00263
NC_017944.1|NC_017944.1_00379	NC_017944.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP054709.1|NZ_CP054709.1_00361	NZ_CP054709.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP054709.1|NZ_CP054709.1_00243	NZ_CP054709.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP087722.1|NZ_CP087722.1_00018	NZ_CP087722.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP034344.1|NZ_CP034344.1_00102	NZ_CP034344.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP119783.1|NZ_CP119783.1_00388	NZ_CP119783.1	cluster_00079	CP002989.1|CP002989.1_00263
CP050016.1|CP050016.1_00392	CP050016.1	cluster_00079	CP002989.1|CP002989.1_00263
NC_014299.1|NC_014299.1_00376	NC_014299.1	cluster_00079	CP002989.1|CP002989.1_00263
NZ_CP135526.1|NZ_CP135526.1_00061	NZ_CP135526.1	cluster_00079	CP002989.1|CP002989.1_00263
NC_013923.1|NC_013923.1_00150	NC_013923.1	cluster_00079	CP002989.1|CP002989.1_00263
CP002989.1|CP002989.1_00267	CP002989.1	cluster_00080	CP002989.1|CP002989.1_00267
CP007061.1|CP007061.1_00100	CP007061.1	cluster_00080	CP002989.1|CP002989.1_00267
CP002989.1|CP002989.1_00269	CP002989.1	cluster_00081	CP002989.1|CP002989.1_00269
NZ_CP044130.1|NZ_CP044130.1_00078	NZ_CP044130.1	cluster_00081	CP002989.1|CP002989.1_00269
CP002989.1|CP002989.1_00272	CP002989.1	cluster_00082	CP002989.1|CP002989.1_00272
CP002989.1|CP002989.1_00275	CP002989.1	cluster_00083	CP002989.1|CP002989.1_00275
CP007061.1|CP007061.1_00039	CP007061.1	cluster_00083	CP002989.1|CP002989.1_00275
NZ_AP017570.1|NZ_AP017570.1_00079	NZ_AP017570.1	cluster_00083	CP002989.1|CP002989.1_00275
CP002989.1|CP002989.1_00280	CP002989.1	cluster_00084	CP002989.1|CP002989.1_00280
CP002989.1|CP002989.1_00281	CP002989.1	cluster_00085	CP002989.1|CP002989.1_00281
CP002989.1|CP002989.1_00285	CP002989.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP095007.1|NZ_CP095007.1_00216	NZ_CP095007.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP096022.1|NZ_CP096022.1_00139	NZ_CP096022.1	cluster_00086	CP002989.1|CP002989.1_00285
NC_017942.1|NC_017942.1_00014	NC_017942.1	cluster_00086	CP002989.1|CP002989.1_00285
NC_014732.1|NC_014732.1_00109	NC_014732.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP007552.1|NZ_CP007552.1_00122	NZ_CP007552.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP039142.1|NZ_CP039142.1_00032	NZ_CP039142.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP100449.1|NZ_CP100449.1_00247	NZ_CP100449.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP084319.1|NZ_CP084319.1_00057	NZ_CP084319.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP100449.1|NZ_CP100449.1_00309	NZ_CP100449.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP100446.1|NZ_CP100446.1_00567	NZ_CP100446.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP119800.1|NZ_CP119800.1_00072	NZ_CP119800.1	cluster_00086	CP002989.1|CP002989.1_00285
NZ_CP120472.1|NZ_CP120472.1_00489	NZ_CP120472.1	cluster_00086	CP002989.1|CP002989.1_00285
CP002989.1|CP002989.1_00295	CP002989.1	cluster_00087	CP002989.1|CP002989.1_00295
CP031299.1|CP031299.1_00005	CP031299.1	cluster_00303	CP031299.1|CP031299.1_00005
CP031299.1|CP031299.1_00006	CP031299.1	cluster_00304	CP031299.1|CP031299.1_00006
CP031299.1|CP031299.1_00007	CP031299.1	cluster_00305	CP031299.1|CP031299.1_00007
CP031299.1|CP031299.1_00008	CP031299.1	cluster_00306	CP031299.1|CP031299.1_00008
CP031299.1|CP031299.1_00012	CP031299.1	cluster_00307	CP031299.1|CP031299.1_00012
NZ_CP019330.1|NZ_CP019330.1_00003	NZ_CP019330.1	cluster_00307	CP031299.1|CP031299.1_00012
CP031299.1|CP031299.1_00013	CP031299.1	cluster_00308	CP031299.1|CP031299.1_00013
CP031299.1|CP031299.1_00014	CP031299.1	cluster_00309	CP031299.1|CP031299.1_00014
CP031299.1|CP031299.1_00016	CP031299.1	cluster_00310	CP031299.1|CP031299.1_00016
NC_015659.1|NC_015659.1_00094	NC_015659.1	cluster_00310	CP031299.1|CP031299.1_00016
NZ_CP040639.1|NZ_CP040639.1_00018	NZ_CP040639.1	cluster_00310	CP031299.1|CP031299.1_00016
NC_013748.1|NC_013748.1_00017	NC_013748.1	cluster_00310	CP031299.1|CP031299.1_00016
CP135527.1|CP135527.1_00042	CP135527.1	cluster_00310	CP031299.1|CP031299.1_00016
CP031299.1|CP031299.1_00017	CP031299.1	cluster_00311	CP031299.1|CP031299.1_00017
NC_013748.1|NC_013748.1_00019	NC_013748.1	cluster_00311	CP031299.1|CP031299.1_00017
NZ_CP084476.1|NZ_CP084476.1_00061	NZ_CP084476.1	cluster_00311	CP031299.1|CP031299.1_00017
CP135527.1|CP135527.1_00039	CP135527.1	cluster_00311	CP031299.1|CP031299.1_00017
NZ_JAKRVX010000010.1|NZ_JAKRVX010000010.1_00011	NZ_JAKRVX010000010.1	cluster_00311	CP031299.1|CP031299.1_00017
NZ_CP019286.1|NZ_CP019286.1_00047	NZ_CP019286.1	cluster_00311	CP031299.1|CP031299.1_00017
NC_015659.1|NC_015659.1_00093	NC_015659.1	cluster_00311	CP031299.1|CP031299.1_00017
NZ_CP019330.1|NZ_CP019330.1_00012	NZ_CP019330.1	cluster_00311	CP031299.1|CP031299.1_00017
NZ_CP019329.1|NZ_CP019329.1_00068	NZ_CP019329.1	cluster_00311	CP031299.1|CP031299.1_00017
NZ_CP040639.1|NZ_CP040639.1_00019	NZ_CP040639.1	cluster_00311	CP031299.1|CP031299.1_00017
NZ_CP095494.1|NZ_CP095494.1_00038	NZ_CP095494.1	cluster_00311	CP031299.1|CP031299.1_00017
CP031299.1|CP031299.1_00019	CP031299.1	cluster_00312	CP031299.1|CP031299.1_00019
NC_015659.1|NC_015659.1_00092	NC_015659.1	cluster_00312	CP031299.1|CP031299.1_00019
NC_013748.1|NC_013748.1_00021	NC_013748.1	cluster_00312	CP031299.1|CP031299.1_00019
NZ_CP084476.1|NZ_CP084476.1_00059	NZ_CP084476.1	cluster_00312	CP031299.1|CP031299.1_00019
CP031299.1|CP031299.1_00022	CP031299.1	cluster_00313	CP031299.1|CP031299.1_00022
NC_013748.1|NC_013748.1_00024	NC_013748.1	cluster_00313	CP031299.1|CP031299.1_00022
NZ_CP084476.1|NZ_CP084476.1_00056	NZ_CP084476.1	cluster_00313	CP031299.1|CP031299.1_00022
NC_015659.1|NC_015659.1_00089	NC_015659.1	cluster_00313	CP031299.1|CP031299.1_00022
CP031299.1|CP031299.1_00031	CP031299.1	cluster_00314	CP031299.1|CP031299.1_00031
NZ_CP019329.1|NZ_CP019329.1_00052	NZ_CP019329.1	cluster_00314	CP031299.1|CP031299.1_00031
NZ_CP084476.1|NZ_CP084476.1_00047	NZ_CP084476.1	cluster_00314	CP031299.1|CP031299.1_00031
NZ_CP019286.1|NZ_CP019286.1_00033	NZ_CP019286.1	cluster_00314	CP031299.1|CP031299.1_00031
CP050018.1|CP050018.1_00099	CP050018.1	cluster_00314	CP031299.1|CP031299.1_00031
NZ_CP084474.1|NZ_CP084474.1_00245	NZ_CP084474.1	cluster_00314	CP031299.1|CP031299.1_00031
CP031299.1|CP031299.1_00035	CP031299.1	cluster_00315	CP031299.1|CP031299.1_00035
CP135527.1|CP135527.1_00019	CP135527.1	cluster_00315	CP031299.1|CP031299.1_00035
CP031299.1|CP031299.1_00036	CP031299.1	cluster_00316	CP031299.1|CP031299.1_00036
CP031299.1|CP031299.1_00037	CP031299.1	cluster_00317	CP031299.1|CP031299.1_00037
NZ_CP095494.1|NZ_CP095494.1_00069	NZ_CP095494.1	cluster_00317	CP031299.1|CP031299.1_00037
CP031299.1|CP031299.1_00038	CP031299.1	cluster_00318	CP031299.1|CP031299.1_00038
CP031299.1|CP031299.1_00039	CP031299.1	cluster_00319	CP031299.1|CP031299.1_00039
CP031299.1|CP031299.1_00041	CP031299.1	cluster_00320	CP031299.1|CP031299.1_00041
CP031304.1|CP031304.1_00830	CP031304.1	cluster_00320	CP031299.1|CP031299.1_00041
CP031299.1|CP031299.1_00042	CP031299.1	cluster_00321	CP031299.1|CP031299.1_00042
CP046868.1|CP046868.1_00016	CP046868.1	cluster_00321	CP031299.1|CP031299.1_00042
CP040681.1|CP040681.1_00060	CP040681.1	cluster_00321	CP031299.1|CP031299.1_00042
NC_015658.1|NC_015658.1_00230	NC_015658.1	cluster_00321	CP031299.1|CP031299.1_00042
NZ_CP119800.1|NZ_CP119800.1_00076	NZ_CP119800.1	cluster_00321	CP031299.1|CP031299.1_00042
CP031299.1|CP031299.1_00043	CP031299.1	cluster_00322	CP031299.1|CP031299.1_00043
CP031299.1|CP031299.1_00045	CP031299.1	cluster_00323	CP031299.1|CP031299.1_00045
CP031299.1|CP031299.1_00046	CP031299.1	cluster_00324	CP031299.1|CP031299.1_00046
CP031299.1|CP031299.1_00047	CP031299.1	cluster_00325	CP031299.1|CP031299.1_00047
CP031299.1|CP031299.1_00048	CP031299.1	cluster_00326	CP031299.1|CP031299.1_00048
CP031299.1|CP031299.1_00050	CP031299.1	cluster_00327	CP031299.1|CP031299.1_00050
CP031299.1|CP031299.1_00053	CP031299.1	cluster_00328	CP031299.1|CP031299.1_00053
NZ_CP095494.1|NZ_CP095494.1_00073	NZ_CP095494.1	cluster_00328	CP031299.1|CP031299.1_00053
CP031299.1|CP031299.1_00058	CP031299.1	cluster_00329	CP031299.1|CP031299.1_00058
CP031299.1|CP031299.1_00061	CP031299.1	cluster_00330	CP031299.1|CP031299.1_00061
NC_013748.1|NC_013748.1_00050	NC_013748.1	cluster_00330	CP031299.1|CP031299.1_00061
NZ_JAKRVX010000010.1|NZ_JAKRVX010000010.1_00036	NZ_JAKRVX010000010.1	cluster_00330	CP031299.1|CP031299.1_00061
CP031299.1|CP031299.1_00062	CP031299.1	cluster_00331	CP031299.1|CP031299.1_00062
CP031299.1|CP031299.1_00064	CP031299.1	cluster_00332	CP031299.1|CP031299.1_00064
CP031299.1|CP031299.1_00065	CP031299.1	cluster_00333	CP031299.1|CP031299.1_00065
NZ_CP084476.1|NZ_CP084476.1_00009	NZ_CP084476.1	cluster_00333	CP031299.1|CP031299.1_00065
CP031299.1|CP031299.1_00066	CP031299.1	cluster_00334	CP031299.1|CP031299.1_00066
CP031299.1|CP031299.1_00067	CP031299.1	cluster_00335	CP031299.1|CP031299.1_00067
CP031299.1|CP031299.1_00068	CP031299.1	cluster_00336	CP031299.1|CP031299.1_00068
CP031299.1|CP031299.1_00072	CP031299.1	cluster_00337	CP031299.1|CP031299.1_00072
